kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
crossb_top,1,30,0.02297,0.02991,22.970,192/192
crossb_top,2,30,0.02783,0.03518,13.915,384/384
crossb_top,4,30,0.03532,0.04274,8.830,768/768
crossb_top,8,30,0.05044,0.05789,6.305,1536/1536
crossb_top,16,30,0.08065,0.08776,5.041,3072/3072
crossb_top,32,30,0.14782,0.14833,4.619,6144/6144
crossb_top,64,30,0.26980,0.27227,4.216,12288/12288
crossb_top,128,30,0.51240,0.51283,4.003,24576/24576
crossb_top,256,30,0.99190,0.99370,3.875,49152/49152
SWEEP_DONE
