kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
cross_pl_top,1,30,0.02169,0.02974,21.690,192/192
cross_pl_top,2,30,0.02761,0.03503,13.805,192/384
cross_pl_top,4,30,0.03748,0.04427,9.370,192/768
cross_pl_top,8,30,0.05642,0.06321,7.052,192/1536
cross_pl_top,16,30,0.09524,0.10182,5.953,192/3072
cross_pl_top,32,30,0.17976,0.18130,5.617,192/6144
cross_pl_top,64,30,0.33781,0.33839,5.278,192/12288
cross_pl_top,128,30,0.64379,0.64614,5.030,192/24576
cross_pl_top,256,30,1.26004,1.26253,4.922,192/49152
SWEEP_DONE
