kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
obj_pl_top,1,30,0.03112,0.03136,31.120,192/192
obj_pl_top,2,30,0.03738,0.03805,18.690,192/384
obj_pl_top,4,30,0.05071,0.05099,12.678,192/768
obj_pl_top,8,30,0.07699,0.07732,9.624,192/1536
obj_pl_top,16,30,0.12907,0.13078,8.067,192/3072
obj_pl_top,32,30,0.23515,0.23813,7.348,192/6144
obj_pl_top,64,30,0.44678,0.44748,6.981,192/12288
obj_pl_top,128,30,0.86381,0.86566,6.749,192/24576
obj_pl_top,256,30,1.69913,1.70234,6.637,192/49152
SWEEP_DONE
