XAIEFAL: INFO: Resource group Avail is created.
XAIEFAL: INFO: Resource group Static is created.
XAIEFAL: INFO: Resource group Generic is created.
kernel,bytes,nbeats,iters,min_ms,med_ms,mbps_min,ok
p128,1024,64,50,0.01744,0.02422,58.7,ok
p128,4096,256,50,0.02239,0.02503,182.9,ok
p128,16384,1024,50,0.02628,0.02668,623.4,ok
p128,65536,4096,50,0.04008,0.04071,1635.1,ok
p128,262144,16384,50,0.08990,0.09083,2916.0,ok
p128,1048576,65536,20,0.29028,0.29104,3612.3,ok
p128,4194304,262144,20,1.08399,1.08463,3869.3,ok
p128,16777216,1048576,8,4.25752,4.25830,3940.6,ok
kernel,bytes,nbeats,iters,min_ms,med_ms,mbps_min,ok
q512,4096,64,50,0.02279,0.02323,179.7,ok
q512,16384,256,50,0.02370,0.02442,691.3,ok
q512,65536,1024,50,0.02954,0.03023,2218.5,ok
q512,262144,4096,50,0.05318,0.05413,4929.4,ok
q512,1048576,16384,20,0.14871,0.15043,7051.1,ok
q512,4194304,65536,20,0.52826,0.53028,7939.8,ok
q512,16777216,262144,8,2.03656,2.03934,8238.0,ok
kernel,bytes,nbeats,iters,min_ms,med_ms,mbps_min,ok
lb,64,8,50,0.02175,0.02263,2.9,ok
lb,256,32,50,0.02412,0.02445,10.6,ok
lb,1024,128,50,0.02248,0.02285,45.6,ok
lb,4096,512,50,0.02560,0.02596,160.0,ok
lb,16384,2048,50,0.03436,0.03472,476.8,ok
lb,65536,8192,50,0.05889,0.05932,1112.9,ok
lb,262144,32768,50,0.15482,0.15701,1693.2,ok
lb,1048576,131072,20,0.54876,0.55078,1910.8,ok
lb,4194304,524288,20,2.12372,2.12470,1975.0,ok
lb,16777216,2097152,8,8.41441,8.41663,1993.9,ok
SWEEP_DONE
