kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
crossb_top,1,30,0.16517,0.17286,165.170,192/192
crossb_top,2,30,0.21646,0.38572,108.230,384/384
crossb_top,4,30,0.33173,0.33265,82.933,768/768
crossb_top,8,30,0.54947,0.55066,68.684,1536/1536
crossb_top,16,30,0.98666,0.98844,61.666,3072/3072
crossb_top,32,30,1.86169,1.86360,58.178,6144/6144
crossb_top,64,30,3.60870,3.60958,56.386,12288/12288
crossb_top,128,30,7.09939,7.10098,55.464,24576/24576
crossb_top,256,30,14.08133,14.08317,55.005,49152/49152
SWEEP_DONE
