kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
objb_top,1,30,0.18265,0.19144,182.650,192/192
objb_top,2,30,0.23815,0.24304,119.075,384/384
objb_top,4,30,0.34496,0.34981,86.240,768/768
objb_top,8,30,0.56287,0.56799,70.359,1536/1536
objb_top,16,30,1.00037,1.00488,62.523,3072/3072
objb_top,32,30,1.87312,1.87770,58.535,6144/6144
objb_top,64,30,3.61779,3.62365,56.528,12288/12288
objb_top,128,30,7.11439,7.11653,55.581,24576/24576
objb_top,256,30,14.09502,14.09625,55.059,49152/49152
SWEEP_DONE
