kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
cand_pl_top,1,30,0.05825,0.05872,58.250,48/48
cand_pl_top,2,30,0.09534,0.09590,47.670,96/96
cand_pl_top,4,30,0.16978,0.17051,42.445,192/192
cand_pl_top,8,30,0.31924,0.32223,39.905,384/384
cand_pl_top,16,30,0.61885,0.61956,38.678,768/768
cand_pl_top,32,30,1.21082,1.21382,37.838,1536/1536
cand_pl_top,64,30,2.39998,2.40188,37.500,3072/3072
cand_pl_top,128,30,4.77659,4.77745,37.317,6144/6144
cand_pl_top,256,30,9.52790,9.52945,37.218,12288/12288
SWEEP_DONE
