kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
cross_pl_top,1,30,0.15650,0.15702,156.500,192/192
cross_pl_top,2,30,0.29168,0.29381,145.841,384/384
cross_pl_top,4,30,0.56528,0.56638,141.320,768/768
cross_pl_top,8,30,1.10410,1.10698,138.013,1536/1536
cross_pl_top,16,30,2.18386,2.18724,136.491,3072/3072
cross_pl_top,32,30,4.34703,4.34814,135.845,6144/6144
cross_pl_top,64,30,8.66807,8.67013,135.439,12288/12288
cross_pl_top,128,30,17.31144,17.31345,135.246,24576/24576
cross_pl_top,256,30,34.59768,34.60019,135.147,49152/49152
SWEEP_DONE
