kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
obj_pl_top,1,30,0.17643,0.17709,176.430,192/192
obj_pl_top,2,30,0.33213,0.33481,166.066,384/384
obj_pl_top,4,30,0.64561,0.64779,161.403,768/768
obj_pl_top,8,30,1.26940,1.26985,158.675,1536/1536
obj_pl_top,16,30,2.51183,2.51458,156.989,3072/3072
obj_pl_top,32,30,5.00103,5.00311,156.282,6144/6144
obj_pl_top,64,30,9.97958,9.98054,155.931,12288/12288
obj_pl_top,128,30,19.93451,19.93604,155.738,24576/24576
obj_pl_top,256,30,39.84347,39.84535,155.639,49152/49152
SWEEP_DONE
