epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1786332240.61,34.382,34.437,35.539,33.492,33.281,33.101,31.718,34.476,34.546,33.742,34.187,34.062,32.632,32.976,33.101,0.8050,0.8087,0.8000,0.8000,0.8013,0.8025,1.5038,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8788,1.2038,1.4950,1.9320,4.8323,0.1184,0.0548,0.1683,0.1757,1.5489,0.1103,0.1450,0.0126,0.0249,0.5460,1.1692,-0.0000,0.1922,0.1715,0.0022,11.2042
1786332241.61,34.593,34.484,35.539,33.468,33.437,32.890,31.960,34.312,34.421,34.453,34.531,34.078,32.765,32.953,33.234,0.8050,0.8087,0.8000,0.8013,0.7988,0.8025,1.5012,1.5000,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8775,1.2038,1.4938,2.0769,4.8080,0.1112,0.0549,0.1673,0.1489,1.5380,0.1095,0.1440,0.0135,0.0249,0.6042,1.1668,-0.0000,0.1920,0.1715,0.0030,11.3345
1786332242.61,34.539,34.640,35.539,33.585,33.492,33.023,31.843,34.234,34.601,33.859,34.015,33.710,32.804,32.250,32.984,0.8037,0.8100,0.7988,0.8000,0.7988,0.8013,1.5025,1.4988,1.8000,1.7950,3.3138,1.2000,1.1025,0.0025,0.8788,1.2038,1.4950,1.3985,4.8155,0.1146,0.0544,0.1669,0.1699,1.5491,0.1094,0.1440,0.0126,0.0249,0.5454,1.1681,-0.0000,0.1900,0.1730,0.0037,10.6400
1786332243.61,34.437,34.710,35.539,33.718,32.929,33.312,32.031,34.710,34.078,33.859,33.937,34.218,33.078,32.664,33.171,0.8037,0.8100,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8000,1.7950,3.3138,1.2025,1.1000,0.0037,0.8788,1.2038,1.4938,1.4950,4.8357,0.1132,0.0540,0.1673,0.1683,1.5371,0.1095,0.1431,0.0117,0.0232,0.5459,1.1660,-0.0000,0.1944,0.1730,0.0030,10.7404
1786332244.61,34.445,34.500,35.539,33.515,32.867,32.679,31.781,34.570,34.187,34.179,33.914,34.078,32.554,33.007,33.335,0.8025,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5012,1.8025,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2025,1.4950,1.2519,4.8282,0.1200,0.0548,0.1673,0.1570,1.5393,0.1111,0.1451,0.0126,0.0249,0.5478,1.1673,-0.0000,0.1911,0.1699,0.0022,10.4906
1786332245.61,34.445,34.320,35.539,33.156,32.984,32.929,31.882,34.320,34.765,34.406,34.210,34.132,32.734,32.679,33.398,0.8050,0.8087,0.7988,0.8000,0.7988,0.8013,1.5012,1.4988,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,1.5456,4.8161,0.1126,0.0548,0.1677,0.1687,1.5388,0.1094,0.1449,0.0126,0.0232,0.5454,1.1668,-0.0000,0.1922,0.1729,0.0030,10.7746
1786332246.61,34.664,34.289,35.539,33.671,32.882,33.125,32.085,34.328,34.335,33.953,34.101,34.304,32.898,32.656,33.156,0.8037,0.8113,0.8000,0.8013,0.7975,0.8013,1.5012,1.5000,1.8013,1.7963,3.3138,1.2000,1.1025,0.0037,0.8775,1.2025,1.4938,1.9049,4.8310,0.1200,0.0537,0.1675,0.1631,1.5358,0.1095,0.1441,0.0117,0.0249,0.5448,1.1687,-0.0000,0.1909,0.1729,0.0030,11.1462
1786332247.61,34.648,34.781,35.539,33.601,33.281,33.273,32.273,34.781,34.125,33.953,33.890,34.257,32.726,32.398,33.085,0.8037,0.8113,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8025,1.7963,3.3150,1.2000,1.1013,0.0025,0.8775,1.2025,1.4938,1.1815,4.8432,0.1176,0.0545,0.1673,0.1643,1.5386,0.1110,0.1433,0.0117,0.0232,0.5454,1.1657,-0.0000,0.1909,0.1714,0.0030,10.4324
1786332248.61,34.476,34.445,35.539,33.507,33.578,33.281,31.679,33.820,34.148,34.054,34.468,34.179,32.625,32.859,33.195,0.8037,0.8100,0.8000,0.8013,0.7988,0.8025,1.5038,1.5000,1.8013,1.7963,3.3138,1.2012,1.1013,0.0037,0.8775,1.2025,1.4938,1.2780,4.8276,0.1092,0.0545,0.1677,0.1569,1.5398,0.1095,0.1441,0.0126,0.0232,0.5460,1.1662,-0.0000,0.1909,0.1729,0.0030,10.5020
1786332249.61,34.429,34.312,35.539,33.414,33.382,33.312,32.000,33.914,34.312,34.437,34.062,34.296,32.851,32.804,32.898,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3138,1.2000,1.1013,0.0037,0.8775,1.2025,1.4938,1.6155,4.8121,0.1142,0.0545,0.1673,0.1687,1.5378,0.1118,0.1441,0.0126,0.0232,0.5472,1.1668,0.0000,0.1898,0.1714,0.0030,10.8398
