epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1789505146.18,34.921,34.898,37.125,31.929,31.781,32.171,31.242,32.710,32.210,33.046,33.609,34.843,33.843,33.859,33.531,0.8050,0.8100,0.8000,0.8013,0.8000,0.8025,1.5038,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8775,1.2038,1.4938,4.4678,4.8398,0.1148,0.0669,0.1676,0.1529,1.5654,0.1103,0.1432,0.0126,0.0249,0.5484,1.1662,-0.0000,0.1931,0.1700,0.0030,13.7466
1789505147.18,34.945,34.640,37.125,32.507,30.960,32.382,31.265,32.593,33.015,33.179,34.320,34.750,33.875,33.890,34.140,0.8025,0.8075,0.7988,0.8000,0.7975,0.8013,1.5025,1.5012,1.8013,1.7963,3.3150,1.1987,1.1025,0.0025,0.8788,1.2038,1.4938,4.6465,4.8127,0.1166,0.0664,0.1671,0.1647,1.5551,0.1096,0.1441,0.0126,0.0232,0.5448,1.1681,-0.0000,0.1900,0.1715,0.0022,13.8952
1789505148.18,34.601,34.773,37.125,32.164,31.390,32.789,31.492,32.742,32.750,32.804,34.179,35.218,34.351,33.507,33.656,0.8025,0.8113,0.7988,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3163,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,4.7428,4.8229,0.1150,0.0664,0.1677,0.1659,1.5649,0.1110,0.1432,0.0126,0.0232,0.5448,1.1673,-0.0000,0.1922,0.1699,0.0030,14.0127
1789505149.18,34.718,34.859,37.125,31.796,31.578,32.343,31.609,32.421,32.523,33.125,34.023,34.539,34.085,33.734,33.632,0.8037,0.8100,0.7988,0.8013,0.7988,0.8000,1.5025,1.5000,1.8000,1.7963,3.3138,1.2012,1.1013,0.0037,0.8788,1.2025,1.4938,5.2083,4.8114,0.1106,0.0669,0.1673,0.1644,1.5551,0.1103,0.1440,0.0117,0.0232,0.5478,1.1657,-0.0000,0.1911,0.1699,0.0030,14.4506
1789505150.18,34.773,34.648,37.125,32.085,31.609,32.148,31.304,32.914,32.773,33.234,34.312,34.804,34.015,33.664,33.617,0.8037,0.8100,0.7988,0.8000,0.7988,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,4.5573,4.8155,0.1126,0.0668,0.1677,0.1632,1.5528,0.1103,0.1423,0.0126,0.0249,0.5460,1.1668,-0.0000,0.1900,0.1729,0.0030,13.8045
1789505151.18,35.226,34.695,37.125,32.000,31.742,32.304,31.445,32.351,32.882,33.343,33.875,34.898,34.250,33.421,33.757,0.8050,0.8100,0.8000,0.8000,0.7988,0.8000,1.5025,1.5012,1.8013,1.7963,3.3150,1.2000,1.1013,0.0050,0.8775,1.2038,1.4938,4.7576,4.9613,0.1144,0.0668,0.1677,0.3944,1.5521,0.1111,0.1441,0.0117,0.0249,0.6936,1.1662,-0.0000,0.1876,0.1730,0.0030,14.5294
1789505152.18,34.625,35.218,37.125,31.968,31.570,32.460,31.125,32.539,32.304,33.398,34.109,34.617,34.359,34.000,33.757,0.8037,0.8087,0.8000,0.8013,0.7988,0.8000,1.5012,1.4988,1.8013,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2025,1.4950,4.3403,4.9415,0.1156,0.0665,0.1673,0.4364,1.5605,0.1102,0.1450,0.0126,0.0215,0.6870,1.1662,-0.0000,0.1922,0.1744,0.0030,14.1402
1789505153.18,35.515,35.523,37.125,32.000,31.632,32.328,31.304,32.445,32.820,33.429,34.968,35.148,34.406,34.140,33.351,0.8037,0.8100,0.7988,0.8000,0.7975,0.8013,1.5038,1.4988,1.8025,1.7963,3.3138,1.2012,1.1013,0.0037,0.8788,1.2025,1.4938,5.8835,4.8155,0.1174,0.0664,0.1675,0.3550,1.5556,0.1109,0.1442,0.0135,0.0232,0.5964,1.1673,-0.0000,0.1911,0.1714,0.0022,15.3810
1789505154.18,35.250,35.281,37.125,32.234,31.617,31.750,31.125,32.609,32.640,33.593,34.625,34.765,34.257,34.554,33.804,0.8037,0.8087,0.7988,0.8013,0.7988,0.8025,1.5025,1.5012,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4925,5.9317,4.8282,0.1142,0.0665,0.1673,0.3679,1.5611,0.1118,0.1441,0.0117,0.0232,0.5964,1.1679,-0.0000,0.1900,0.1714,0.0030,15.4565
1789505155.18,35.687,35.187,37.125,31.671,31.804,32.984,30.796,33.007,32.734,33.500,34.781,35.046,34.226,33.445,33.812,0.8037,0.8087,0.8000,0.8013,0.8000,0.8000,1.5012,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8788,1.2038,1.4950,6.2934,4.8282,0.1136,0.0665,0.1676,0.3768,1.5651,0.1103,0.1441,0.0126,0.0249,0.5970,1.1679,-0.0000,0.1933,0.1715,0.0015,15.8342
