epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1789146342.80,33.117,32.929,34.015,32.039,32.312,32.125,30.320,33.171,33.039,33.210,33.148,33.125,31.546,31.304,31.882,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5012,1.5000,1.8013,1.7963,3.3138,1.2012,1.1013,0.0037,0.8775,1.2038,1.4950,4.7261,4.7312,0.1124,0.0557,0.1673,0.1586,1.5403,0.1103,0.1441,0.0117,0.0232,0.5466,1.1662,-0.0000,0.1887,0.1715,0.0030,13.8568
1789146343.80,33.023,33.039,34.015,32.070,32.101,31.890,30.343,32.796,32.210,32.828,32.507,33.101,31.382,31.156,31.851,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.4988,1.8025,1.7963,3.3138,1.2012,1.1013,0.0025,0.8788,1.2025,1.4925,4.3885,4.7312,0.1096,0.0549,0.1669,0.1510,1.5310,0.1109,0.1442,0.0126,0.0232,0.5466,1.1662,-0.0000,0.1878,0.1699,0.0030,13.4975
1789146344.80,33.125,32.843,34.015,32.195,31.773,31.562,30.953,32.820,32.992,32.804,32.687,33.226,31.289,31.054,31.851,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.5012,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8788,1.2038,1.4938,4.8707,4.7352,0.1126,0.0545,0.1665,0.1522,1.5318,0.1118,0.1441,0.0126,0.0232,0.5454,1.1662,-0.0000,0.1867,0.1715,0.0030,13.9882
1789146345.80,33.320,33.265,34.015,32.351,32.125,31.843,30.234,32.937,32.468,32.343,32.718,33.218,31.593,30.992,31.640,0.8037,0.8087,0.7988,0.8013,0.7975,0.8013,1.5025,1.5012,1.8000,1.7963,3.3150,1.2000,1.1025,0.0050,0.8775,1.2038,1.4938,4.6055,4.7352,0.1126,0.0545,0.1667,0.1530,1.5303,0.1111,0.1449,0.0117,0.0249,0.5454,1.1675,-0.0000,0.1887,0.1715,0.0015,13.7250
1789146346.80,33.132,33.000,34.015,31.773,31.820,32.046,30.265,32.906,32.718,32.406,32.617,32.851,31.609,31.250,31.781,0.8037,0.8087,0.7988,0.8000,0.8000,0.8013,1.5025,1.5000,1.8013,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,4.8225,4.7433,0.1126,0.0552,0.1676,0.1679,1.5303,0.1110,0.1450,0.0117,0.0249,0.5454,1.1673,-0.0000,0.1889,0.1700,0.0037,13.9673
1789146347.80,33.171,33.234,34.015,32.046,31.953,31.703,30.710,32.718,32.453,32.539,33.046,33.054,31.375,31.085,31.453,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5038,1.5000,1.8000,1.7950,3.3138,1.2000,1.1013,0.0050,0.8788,1.2025,1.4938,4.4126,4.7393,0.1144,0.0549,0.1673,0.1590,1.5398,0.1103,0.1485,0.0117,0.0232,0.5676,1.1662,-0.0000,0.1878,0.1699,0.0022,13.5747
1789146348.80,33.273,32.890,34.039,31.984,31.750,32.039,30.398,32.710,33.164,32.656,32.562,33.070,31.929,31.234,31.921,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.4988,1.8013,1.7963,3.3138,1.2012,1.1013,0.0025,0.8775,1.2025,1.4950,4.7502,4.7271,0.1128,0.0553,0.1681,0.2720,1.5341,0.1109,0.1441,0.0126,0.0232,0.5472,1.1662,-0.0000,0.1876,0.1714,0.0022,13.9849
1789146349.80,33.453,33.367,34.039,32.601,32.484,31.859,30.406,32.617,33.023,32.937,32.562,32.820,31.718,31.781,31.835,0.8037,0.8100,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3138,1.2025,1.1000,0.0025,0.8788,1.2038,1.4938,5.4735,4.7466,0.1096,0.0548,0.1669,0.3670,1.5280,0.1095,0.1441,0.0126,0.0232,0.5784,1.1649,0.0000,0.1878,0.1715,0.0030,14.8415
1789146350.80,33.398,33.382,34.046,32.289,31.773,31.906,30.734,32.484,32.679,32.687,32.265,32.804,30.968,31.195,32.109,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.4988,1.8000,1.7950,3.3138,1.2012,1.1013,0.0025,0.8788,1.2038,1.4938,4.7261,4.7716,0.1148,0.0545,0.1669,0.4359,1.5318,0.1094,0.1431,0.0117,0.0232,0.7526,1.1673,0.0000,0.1889,0.1715,0.0030,14.3723
1789146351.80,33.484,33.500,34.093,32.953,32.296,32.140,30.890,32.773,32.781,32.875,32.960,33.421,31.523,31.140,32.054,0.8025,0.8087,0.8000,0.8013,0.7988,0.8013,1.5012,1.5000,1.8013,1.7963,3.3150,1.2012,1.1025,0.0037,0.8775,1.2050,1.4938,5.0317,4.7352,0.1160,0.0549,0.1673,0.3453,1.5395,0.1110,0.1432,0.0126,0.0232,0.5766,1.1681,-0.0000,0.1876,0.1717,0.0022,14.3862
