epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1789102081.16,33.421,33.390,34.523,32.109,32.343,32.132,30.750,32.906,32.898,33.000,32.781,33.453,31.523,31.468,32.335,0.8037,0.8075,0.7975,0.7988,0.7988,0.8000,1.5025,1.4988,1.8025,1.7975,3.3150,1.2012,1.1025,0.0037,0.8788,1.2025,1.4950,5.0395,4.7239,0.1164,0.0551,0.1677,0.1596,1.5333,0.1102,0.1451,0.0117,0.0232,0.5472,1.1681,-0.0000,0.1889,0.1699,0.0030,14.1628
1789102082.16,33.375,33.093,34.523,32.695,32.609,31.640,30.781,32.968,33.000,32.570,33.234,33.265,32.000,31.570,31.734,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8000,1.7975,3.3150,1.2000,1.1013,0.0025,0.8788,1.2038,1.4950,4.6296,4.7271,0.1154,0.0549,0.1673,0.1691,1.5318,0.1103,0.1440,0.0117,0.0249,0.5460,1.1668,-0.0000,0.1889,0.1715,0.0030,13.7623
1789102083.16,33.320,33.312,34.523,32.593,32.140,32.234,31.273,33.320,32.984,33.101,32.656,33.851,31.507,31.984,31.765,0.8037,0.8087,0.8000,0.8013,0.7988,0.8000,1.5038,1.4988,1.8000,1.7963,3.3150,1.2025,1.1013,0.0025,0.8788,1.2038,1.4938,4.7984,4.7352,0.1152,0.0553,0.1673,0.1592,1.5444,0.1109,0.1440,0.0126,0.0249,0.5477,1.1662,-0.0000,0.1889,0.1715,0.0030,13.9447
1789102084.16,33.289,33.328,34.523,32.406,31.804,32.125,30.601,32.781,33.507,33.093,32.796,32.914,31.593,31.781,32.171,0.8037,0.8075,0.8000,0.8013,0.7988,0.8013,1.5038,1.4988,1.8013,1.7963,3.3150,1.2000,1.1013,0.0050,0.8788,1.2038,1.4925,5.1601,4.7320,0.1172,0.0553,0.1673,0.1578,1.5338,0.1094,0.1450,0.0126,0.0249,0.5454,1.1662,-0.0000,0.1900,0.1700,0.0022,14.2893
1789102085.16,33.296,33.257,34.523,32.546,32.101,32.460,31.039,33.132,32.859,33.242,33.078,33.289,31.773,31.437,32.109,0.8037,0.8100,0.8000,0.8013,0.7988,0.8000,1.5038,1.5000,1.8000,1.7975,3.3175,1.2000,1.1025,0.0037,0.8775,1.2038,1.4938,5.0154,4.7507,0.1148,0.0553,0.1669,0.1612,1.5428,0.1110,0.1440,0.0135,0.0249,0.5454,1.1675,-0.0000,0.1887,0.1715,0.0022,14.1759
1789102086.16,33.640,33.289,34.523,32.179,32.164,32.234,30.804,32.937,32.679,33.320,32.851,32.984,31.640,31.257,32.070,0.8050,0.8100,0.8000,0.8013,0.7988,0.8013,1.5012,1.4988,1.8013,1.7963,3.3138,1.2000,1.1000,0.0037,0.8788,1.2038,1.4938,4.2746,4.7466,0.1140,0.0553,0.1669,0.1639,1.5290,0.1102,0.1432,0.0135,0.0249,0.5448,1.1649,-0.0000,0.1889,0.1685,0.0030,13.4121
1789102087.16,33.437,33.460,34.523,32.656,32.390,32.210,30.843,33.460,33.007,32.828,32.976,33.281,31.273,31.585,32.085,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8025,1.7963,3.3150,1.2000,1.1013,0.0037,0.8775,1.2025,1.4950,4.7261,4.7352,0.1110,0.0553,0.1669,0.1643,1.5333,0.1103,0.1442,0.0126,0.0249,0.5448,1.1673,-0.0000,0.1898,0.1699,0.0037,13.8594
1789102088.16,33.382,33.437,34.523,32.765,32.250,32.109,30.812,33.078,32.609,32.882,33.195,33.609,31.562,31.757,31.976,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5038,1.5000,1.8013,1.7975,3.3150,1.2012,1.1025,0.0037,0.8788,1.2025,1.4938,5.1842,4.7191,0.1104,0.0549,0.1673,0.1667,1.5308,0.1103,0.1441,0.0126,0.0232,0.5460,1.1675,-0.0000,0.1911,0.1714,0.0030,14.3025
1789102089.16,33.343,33.351,34.523,32.453,32.500,32.054,30.601,33.351,33.257,32.593,33.070,33.390,31.617,31.875,31.828,0.8037,0.8100,0.7988,0.8000,0.7988,0.8013,1.5012,1.4988,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,5.2083,4.7345,0.1138,0.0548,0.1669,0.1586,1.5335,0.1102,0.1440,0.0126,0.0249,0.5442,1.1657,-0.0000,0.1867,0.1730,0.0030,14.3347
1789102090.16,33.601,33.250,34.523,32.523,32.164,32.164,30.351,33.359,33.289,33.234,32.937,33.039,32.031,31.789,32.015,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,4.8948,4.7393,0.1178,0.0557,0.1669,0.1619,1.5371,0.1110,0.1441,0.0126,0.0232,0.5466,1.1668,-0.0000,0.1878,0.1699,0.0022,14.0376
