epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1788863847.63,33.875,33.906,34.398,32.773,32.578,32.507,31.218,33.906,33.640,33.351,33.343,33.406,31.929,32.039,32.070,0.8037,0.8100,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8788,1.2038,1.4938,4.7743,4.7385,0.1104,0.0536,0.1669,0.1623,1.5341,0.1103,0.1441,0.0126,0.0232,0.5472,1.1681,0.0000,0.1900,0.1700,0.0022,13.9077
1788863848.63,33.773,33.453,34.398,32.789,32.367,31.984,31.023,33.500,33.757,33.265,33.132,33.054,31.968,31.359,32.148,0.8037,0.8075,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2038,1.4938,4.0991,4.7360,0.1148,0.0537,0.1669,0.1659,1.5348,0.1110,0.1431,0.0117,0.0232,0.5466,1.1662,-0.0000,0.1889,0.1715,0.0022,13.2357
1788863849.63,33.593,33.562,34.398,32.585,32.320,32.570,30.976,33.562,33.125,33.187,33.242,33.312,31.914,31.750,32.390,0.8037,0.8087,0.8000,0.8013,0.7988,0.8000,1.5025,1.4988,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4912,4.0509,4.7271,0.1168,0.0545,0.1673,0.1616,1.5333,0.1094,0.1432,0.0117,0.0232,0.5454,1.1662,-0.0000,0.1889,0.1699,0.0037,13.1732
1788863850.63,33.468,33.570,34.398,32.421,32.312,32.406,30.976,33.148,33.320,33.000,32.656,32.695,31.937,31.781,32.179,0.8037,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5012,1.8013,1.7963,3.3138,1.1987,1.1013,0.0025,0.8788,1.2025,1.4950,5.3048,4.7352,0.1160,0.0544,0.1669,0.1627,1.5453,0.1111,0.1441,0.0126,0.0249,0.5454,1.1657,-0.0000,0.1878,0.1729,0.0030,14.4527
1788863851.63,33.726,33.757,34.398,33.000,32.585,32.828,31.164,33.757,33.390,33.390,33.117,33.765,31.484,32.031,32.164,0.8037,0.8100,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3138,1.2000,1.1013,0.0050,0.8775,1.2025,1.4938,4.6055,4.7547,0.1120,0.0540,0.1669,0.1615,1.5363,0.1095,0.1441,0.0126,0.0249,0.5448,1.1668,-0.0000,0.1887,0.1714,0.0030,13.7565
1788863852.63,33.726,33.406,34.398,32.632,32.015,32.343,31.171,33.445,33.617,32.968,33.273,33.226,31.843,31.710,32.609,0.8037,0.8075,0.7988,0.8013,0.7988,0.7988,1.5025,1.4988,1.8013,1.7950,3.3150,1.2000,1.1013,0.0025,0.8788,1.2025,1.4950,4.3885,4.7360,0.1134,0.0537,0.1669,0.1625,1.5423,0.1102,0.1450,0.0135,0.0232,0.5730,1.1657,-0.0000,0.1878,0.1699,0.0037,13.5553
1788863853.63,33.765,33.656,34.398,32.632,32.406,32.257,31.507,33.382,33.523,32.976,33.250,33.187,31.679,31.945,32.023,0.8025,0.8087,0.7975,0.8000,0.7988,0.8013,1.5025,1.5000,1.8025,1.7963,3.3138,1.2000,1.1013,0.0050,0.8775,1.2025,1.4938,4.6224,4.7271,0.1140,0.0540,0.1673,0.1530,1.5386,0.1103,0.1442,0.0126,0.0249,0.5472,1.1673,-0.0000,0.1887,0.1699,0.0030,13.7444
1788863854.63,33.796,34.156,34.398,32.812,32.789,32.468,31.062,33.898,33.523,33.007,33.203,32.515,31.984,31.796,32.273,0.8037,0.8087,0.7988,0.8013,0.8000,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2025,1.1013,0.0025,0.8788,1.2038,1.4938,4.4367,4.7352,0.1146,0.0545,0.1672,0.1619,1.5310,0.1095,0.1441,0.0108,0.0215,0.5465,1.1668,-0.0000,0.1889,0.1715,0.0037,13.5646
1788863855.63,34.007,33.585,34.398,32.351,32.585,32.070,30.976,33.585,33.429,32.867,33.390,33.523,31.734,32.078,32.437,0.8037,0.8075,0.7988,0.8000,0.7988,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8775,1.2038,1.4938,4.8948,4.7279,0.1138,0.0540,0.1673,0.1516,1.5401,0.1103,0.1432,0.0108,0.0249,0.5448,1.1675,-0.0000,0.1898,0.1715,0.0022,14.0145
1788863856.63,33.460,33.882,34.398,32.492,32.765,32.609,31.062,33.750,33.937,33.398,32.960,33.242,31.976,31.820,32.296,0.8037,0.8087,0.8000,0.8000,0.8000,0.8013,1.5025,1.4988,1.8013,1.7963,3.3163,1.2000,1.1013,0.0025,0.8788,1.2025,1.4938,4.6537,4.7393,0.1128,0.0536,0.1672,0.1603,1.5310,0.1102,0.1441,0.0126,0.0249,0.5460,1.1668,-0.0000,0.1900,0.1714,0.0030,13.7867
1788863857.63,33.843,34.164,34.398,32.375,32.421,32.203,31.171,34.164,33.750,33.476,33.085,33.039,32.171,32.031,32.632,0.8025,0.8087,0.8000,0.8013,0.7988,0.8025,1.5038,1.5000,1.8000,1.7950,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,4.8150,4.7352,0.1136,0.0545,0.1669,0.1681,1.5376,0.1103,0.1440,0.0126,0.0249,0.5460,1.1657,-0.0000,0.1889,0.1684,0.0030,13.9546
1788863858.63,33.585,33.843,34.398,33.125,32.664,32.453,30.632,33.218,33.320,33.078,33.195,33.453,31.960,32.039,32.367,0.8037,0.8100,0.7988,0.8013,0.8000,0.8013,1.5025,1.5000,1.8000,1.7963,3.3150,1.1987,1.1025,0.0037,0.8788,1.2025,1.4925,4.8948,4.7628,0.1130,0.0537,0.1668,0.1675,1.5326,0.1110,0.1440,0.0135,0.0232,0.5448,1.1675,-0.0000,0.1900,0.1699,0.0037,14.0588
1788863859.63,34.062,33.773,34.515,32.390,32.843,32.539,30.875,33.390,33.773,33.718,33.101,33.875,31.859,32.109,32.250,0.8037,0.8087,0.7988,0.8013,0.7975,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,4.8948,4.7595,0.1182,0.0541,0.1671,0.1616,1.5348,0.1095,0.1441,0.0135,0.0249,0.5442,1.1668,-0.0000,0.1889,0.1714,0.0037,14.0570
1788863860.63,33.726,34.085,34.515,32.601,32.328,32.726,30.906,33.546,33.328,33.046,33.320,33.625,32.078,31.906,32.335,0.8037,0.8087,0.7988,0.7988,0.7975,0.8000,1.5012,1.4988,1.8000,1.7950,3.3150,1.2000,1.1013,0.0050,0.8788,1.2025,1.4950,5.1601,4.7393,0.1142,0.0539,0.1671,0.1636,1.5455,0.1109,0.1440,0.0135,0.0249,0.5454,1.1679,0.0000,0.1878,0.1714,0.0022,14.3116
1788863861.63,33.835,33.851,34.515,32.664,32.546,32.554,31.453,33.796,33.851,33.562,33.132,33.359,32.000,31.835,32.539,0.8037,0.8087,0.8000,0.7988,0.7988,0.8013,1.5038,1.5000,1.8000,1.7963,3.3163,1.2000,1.1025,0.0050,0.8788,1.2025,1.4938,4.9672,4.7433,0.1136,0.0539,0.1669,0.1615,1.5361,0.1103,0.1449,0.0117,0.0249,0.5466,1.1675,-0.0000,0.1900,0.1714,0.0030,14.1127
1788863862.63,33.500,33.578,34.515,32.382,32.929,32.195,31.210,33.304,33.343,33.117,32.984,33.515,31.820,31.773,32.203,0.8037,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7950,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,4.7019,4.7393,0.1152,0.0540,0.1673,0.1562,1.5468,0.1110,0.1432,0.0117,0.0232,0.5466,1.1657,-0.0000,0.1889,0.1699,0.0022,13.8432
1788863863.63,33.593,33.781,34.515,32.226,32.359,32.234,30.656,33.265,33.320,32.968,33.054,33.312,31.921,31.718,32.046,0.8037,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0025,0.8775,1.2038,1.4938,4.3885,4.7433,0.1152,0.0540,0.1673,0.1623,1.5363,0.1103,0.1441,0.0135,0.0232,0.5466,1.1657,-0.0000,0.1887,0.1685,0.0030,13.5303
1788863864.63,33.531,33.406,34.515,32.875,32.679,32.539,31.476,33.601,33.710,33.406,33.007,33.414,32.039,31.695,32.117,0.8037,0.8100,0.7988,0.8000,0.7988,0.8025,1.5025,1.4988,1.8013,1.7950,3.3138,1.2000,1.1025,0.0037,0.8788,1.2025,1.4950,4.6537,4.7507,0.1146,0.0536,0.1673,0.1637,1.5348,0.1117,0.1441,0.0117,0.0215,0.5454,1.1670,-0.0000,0.1878,0.1699,0.0030,13.8005
1788863865.63,33.734,33.601,34.515,33.109,32.750,32.437,30.843,33.500,33.601,33.468,32.789,33.781,31.742,32.203,32.453,0.8037,0.8087,0.7988,0.8013,0.7975,0.8025,1.5025,1.5000,1.8037,1.7963,3.3150,1.2000,1.1013,0.0037,0.8775,1.2025,1.4938,4.8225,4.7393,0.1142,0.0541,0.1663,0.1721,1.5363,0.1095,0.1443,0.0108,0.0232,0.5466,1.1668,-0.0000,0.1887,0.1699,0.0030,13.9675
1788863866.63,33.539,33.726,34.515,33.085,32.710,32.523,30.773,33.484,33.554,33.210,33.125,33.539,31.500,32.023,32.195,0.8037,0.8100,0.7988,0.8000,0.7988,0.8013,1.5025,1.4988,1.8013,1.7963,3.3150,1.2012,1.1000,0.0037,0.8775,1.2038,1.4950,4.1956,4.7507,0.1138,0.0540,0.1669,0.1615,1.5348,0.1094,0.1441,0.0117,0.0232,0.5478,1.1643,-0.0000,0.1898,0.1700,0.0037,13.3413
1788863867.63,33.570,33.671,34.515,32.210,32.460,32.585,31.125,33.726,33.796,33.429,33.617,33.164,31.781,31.890,32.210,0.8037,0.8100,0.8013,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7950,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,4.2438,4.7466,0.1178,0.0540,0.1673,0.1651,1.5461,0.1110,0.1432,0.0108,0.0232,0.5448,1.1668,-0.0000,0.1878,0.1699,0.0045,13.4026
1788863868.63,33.484,33.796,34.515,32.750,32.617,31.953,31.093,33.632,33.984,32.781,33.289,33.406,32.156,32.046,32.406,0.8037,0.8100,0.7988,0.8000,0.7988,0.8000,1.5025,1.5000,1.8000,1.7963,3.3150,1.1987,1.1013,0.0037,0.8788,1.2025,1.4938,4.5573,4.7426,0.1122,0.0540,0.1669,0.1616,1.5348,0.1103,0.1440,0.0117,0.0232,0.5454,1.1668,-0.0000,0.1889,0.1699,0.0030,13.6925
1788863869.63,33.906,33.906,34.515,32.843,32.570,32.476,31.476,33.718,33.484,33.546,33.273,33.523,32.117,31.679,32.054,0.8037,0.8087,0.7988,0.8000,0.7988,0.8025,1.5012,1.5000,1.8025,1.7963,3.3150,1.2000,1.1013,0.0037,0.8800,1.2025,1.4950,4.1956,4.7393,0.1130,0.0536,0.1669,0.1541,1.5433,0.1103,0.1442,0.0126,0.0232,0.5454,1.1662,-0.0000,0.1892,0.1699,0.0022,13.3289
1788863870.63,33.820,33.593,34.515,32.781,32.523,32.671,31.226,33.593,33.382,33.242,33.335,33.187,32.226,31.734,32.351,0.8037,0.8075,0.7988,0.8000,0.7988,0.8013,1.5038,1.5000,1.8025,1.7963,3.3150,1.2012,1.1013,0.0037,0.8775,1.2025,1.4925,4.5090,4.7400,0.1146,0.0540,0.1669,0.1675,1.5376,0.1110,0.1433,0.0126,0.0232,0.5454,1.1657,-0.0000,0.1887,0.1699,0.0030,13.6523
1788863871.63,33.773,33.968,34.515,32.648,32.015,32.429,30.726,33.453,32.976,33.304,33.046,33.523,32.359,31.812,32.695,0.8037,0.8087,0.7988,0.8025,0.7988,0.8000,1.5012,1.5000,1.8013,1.7963,3.3150,1.2012,1.1000,0.0037,0.8788,1.2038,1.4938,4.5332,4.7393,0.1138,0.0538,0.1673,0.1616,1.5313,0.1103,0.1441,0.0117,0.0232,0.5466,1.1649,-0.0000,0.1889,0.1700,0.0022,13.6621
1788863872.63,34.007,33.695,34.515,32.718,32.617,32.523,31.320,33.359,33.632,33.242,33.289,33.343,32.234,32.203,32.585,0.8025,0.8100,0.8000,0.8000,0.7988,0.8013,1.5025,1.4988,1.8000,1.7950,3.3150,1.1987,1.1013,0.0037,0.8775,1.2025,1.4950,4.5020,4.7547,0.1140,0.0536,0.1669,0.2167,1.5371,0.1109,0.1440,0.0135,0.0232,0.5448,1.1662,-0.0000,0.1898,0.1714,0.0030,13.7118
1788863873.63,33.593,33.531,34.515,32.750,32.531,32.187,31.078,33.117,33.734,33.257,33.031,33.007,31.812,32.117,32.828,0.8037,0.8087,0.8000,0.8013,0.8000,0.8013,1.5038,1.4988,1.8000,1.7963,3.3138,1.2000,1.1013,0.0037,0.8800,1.2038,1.4938,4.3403,4.7433,0.1096,0.0537,0.1676,0.1619,1.5338,0.1109,0.1440,0.0117,0.0232,0.5478,1.1662,-0.0000,0.1903,0.1700,0.0030,13.4772
