epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1788815353.45,34.070,32.687,38.164,31.843,31.437,32.679,31.531,32.234,32.007,32.226,32.421,32.554,32.679,32.546,32.500,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.5012,1.8000,1.7975,3.3150,1.2000,1.1013,0.0037,0.8775,1.2038,1.4938,1.0127,4.7514,0.1130,0.0753,0.1673,0.1631,1.5408,0.1103,0.1440,0.0135,0.0249,0.5478,1.1690,-0.0000,0.1909,0.1700,0.0030,10.1970
1788815354.45,34.015,32.812,38.164,31.906,31.312,32.625,31.468,32.054,32.132,31.804,31.984,32.507,32.000,31.734,32.679,0.8037,0.8087,0.7988,0.8013,0.7988,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2025,1.4950,0.9404,4.7595,0.1114,0.0749,0.1681,0.1712,1.5521,0.1103,0.1441,0.0126,0.0249,0.5484,1.1701,-0.0000,0.1900,0.1729,0.0037,10.1545
1788815355.45,34.117,32.640,38.164,32.101,31.281,32.250,31.226,32.335,32.546,32.273,32.507,32.796,32.023,31.984,32.703,0.8037,0.8087,0.8000,0.8013,0.7988,0.8000,1.5025,1.4988,1.8025,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,1.2056,4.7433,0.1152,0.0753,0.1669,0.1620,1.5476,0.1109,0.1442,0.0126,0.0215,0.5472,1.1712,-0.0000,0.1922,0.1715,0.0030,10.3903
1788815356.45,34.070,32.671,38.164,32.398,31.406,32.359,31.187,32.187,32.109,32.179,31.984,32.937,32.234,32.000,32.914,0.8050,0.8087,0.7988,0.8013,0.8000,0.8013,1.5025,1.5012,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8775,1.2038,1.4938,1.0143,4.7393,0.1158,0.0753,0.1672,0.1522,1.5408,0.1096,0.1450,0.0126,0.0232,0.5478,1.1701,-0.0000,0.1887,0.1730,0.0030,10.1779
1788815357.45,34.023,32.507,38.164,32.085,31.437,32.054,30.843,32.046,32.023,31.937,32.250,32.515,31.648,31.859,32.929,0.8037,0.8087,0.7988,0.8000,0.7975,0.8013,1.5025,1.4988,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8762,1.2025,1.4950,0.7957,4.7514,0.1146,0.0748,0.1667,0.1554,1.5521,0.1109,0.1441,0.0126,0.0265,0.5472,1.1714,-0.0000,0.1884,0.1729,0.0030,9.9877
1788815358.45,34.171,32.773,38.164,32.250,31.562,31.851,31.078,31.992,31.851,31.960,32.281,32.578,31.101,32.031,32.796,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.4988,1.8013,1.7963,3.3138,1.2000,1.1013,0.0025,0.8788,1.2012,1.4938,1.1333,4.7595,0.1116,0.0749,0.1669,0.1691,1.5401,0.1102,0.1441,0.0126,0.0215,0.5538,1.1706,-0.0000,0.1900,0.1727,0.0037,10.3346
1788815359.45,33.828,32.648,38.164,32.015,31.242,31.648,31.148,31.882,31.820,31.593,31.875,32.179,31.554,31.679,32.453,0.8025,0.8075,0.7988,0.8000,0.7975,0.8013,1.5012,1.5012,1.8000,1.7975,3.3150,1.2012,1.1000,0.0025,0.8788,1.2012,1.4938,1.3963,4.7441,0.1190,0.0752,0.1667,0.1679,1.5380,0.1103,0.1431,0.0126,0.0232,0.5484,1.1688,-0.0000,0.1889,0.1727,0.0030,10.5781
1788815360.45,33.781,32.703,38.164,32.203,31.406,31.953,31.054,31.960,32.054,31.734,32.265,32.531,31.804,31.859,32.539,0.8037,0.8087,0.8000,0.8000,0.7975,0.8013,1.5025,1.4988,1.8013,1.7950,3.3150,1.2012,1.1013,0.0050,0.8788,1.2012,1.4938,1.0368,4.7271,0.1120,0.0752,0.1667,0.1615,1.5453,0.1102,0.1441,0.0126,0.0249,0.5472,1.1706,-0.0000,0.1911,0.1727,0.0037,10.2016
1788815361.45,34.000,32.718,38.164,31.601,31.835,32.562,31.437,32.359,32.031,32.429,32.265,32.523,31.695,31.812,32.367,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7950,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,1.3503,4.7514,0.1134,0.0749,0.1673,0.1578,1.5386,0.1103,0.1432,0.0126,0.0249,0.5478,1.1701,-0.0000,0.1911,0.1714,0.0022,10.5273
1788815362.45,33.929,32.812,38.164,31.906,31.570,32.664,31.046,32.257,32.445,32.210,32.414,32.421,31.601,31.648,32.453,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7937,3.3138,1.2000,1.1013,0.0037,0.8775,1.2025,1.4938,0.8922,4.7474,0.1174,0.0748,0.1673,0.1590,1.5401,0.1110,0.1441,0.0126,0.0249,0.5520,1.1695,-0.0000,0.1898,0.1699,0.0030,10.0748
