epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1789517186.99,33.179,31.617,34.968,30.945,30.656,31.218,30.382,31.398,31.421,31.289,31.273,31.828,31.148,30.843,31.945,0.8037,0.8087,0.7988,0.8000,0.8000,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8775,1.2012,1.4950,2.6524,4.7959,0.1102,0.0764,0.1668,0.1631,1.5453,0.1095,0.1441,0.0126,0.0232,0.5466,1.1675,-0.0000,0.1865,0.1712,0.0030,11.8742
1789517187.99,33.242,32.093,34.968,31.679,30.437,31.195,30.523,31.218,31.500,31.343,31.125,31.609,31.031,31.023,31.218,0.8025,0.8100,0.7975,0.8000,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3138,1.2012,1.1013,0.0037,0.8788,1.2038,1.4950,3.2261,4.7709,0.1124,0.0760,0.1669,0.1687,1.5356,0.1103,0.1431,0.0126,0.0215,0.5514,1.1673,-0.0000,0.1889,0.1730,0.0022,12.4269
1789517189.00,33.171,31.742,34.968,31.304,30.039,31.656,30.085,31.304,31.015,31.617,31.429,31.734,30.773,31.117,31.359,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5038,1.4988,1.8000,1.7950,3.3150,1.2012,1.1013,0.0037,0.8788,1.2025,1.4938,2.8694,4.7918,0.1132,0.0761,0.1673,0.1623,1.5353,0.1094,0.1440,0.0135,0.0265,0.5466,1.1657,-0.0000,0.1889,0.1714,0.0030,12.0844
1789517190.00,33.359,31.875,34.968,31.210,30.812,31.500,30.218,30.976,31.210,31.148,31.695,31.500,30.539,31.156,31.750,0.8037,0.8075,0.7988,0.8013,0.7988,0.8013,1.5025,1.4988,1.8013,1.7963,3.3150,1.2000,1.1000,0.0025,0.8788,1.2025,1.4938,2.7006,4.7723,0.1142,0.0761,0.1669,0.1534,1.5461,0.1102,0.1441,0.0126,0.0215,0.5484,1.1649,-0.0000,0.1900,0.1699,0.0030,11.8943
1789517191.00,33.304,31.742,34.968,31.320,30.976,31.648,29.960,30.960,31.273,31.250,31.742,32.125,31.117,31.148,31.695,0.8025,0.8087,0.8000,0.8000,0.7988,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1000,0.0037,0.8788,1.2025,1.4938,2.8649,4.7838,0.1136,0.0760,0.1669,0.1648,1.5333,0.1095,0.1432,0.0117,0.0232,0.5466,1.1649,-0.0000,0.1878,0.1714,0.0030,12.0645
1789517192.00,33.757,32.125,34.968,31.359,30.265,31.851,30.492,31.414,31.601,30.992,31.117,32.039,31.335,30.898,31.554,0.8037,0.8087,0.7988,0.8013,0.7975,0.8000,1.5025,1.5012,1.8013,1.7950,3.3150,1.2012,1.1013,0.0037,0.8788,1.2025,1.4938,2.1701,4.7959,0.1150,0.0761,0.1667,0.1612,1.5431,0.1103,0.1504,0.0126,0.0232,0.5682,1.1673,-0.0000,0.1878,0.1714,0.0030,11.4223
1789517193.00,33.125,31.804,34.968,31.125,30.476,31.375,30.351,31.406,31.414,30.843,31.195,31.921,30.570,30.929,31.906,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5012,1.5000,1.8013,1.7975,3.3138,1.2000,1.1013,0.0037,0.8775,1.2025,1.4938,2.6042,4.7918,0.1162,0.0765,0.1669,0.1635,1.5335,0.1103,0.1495,0.0108,0.0232,0.5676,1.1657,-0.0000,0.1865,0.1699,0.0030,11.8390
1789517194.00,33.390,32.070,34.968,31.218,30.328,31.195,30.234,31.742,31.539,30.828,30.820,31.710,30.742,31.156,31.523,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2012,1.4938,2.9658,4.8404,0.1112,0.0761,0.1669,0.4447,1.5446,0.1103,0.1450,0.0126,0.0249,0.6948,1.1662,-0.0000,0.1867,0.1697,0.0030,12.6628
1789517195.00,33.492,31.796,34.968,31.140,30.593,31.328,30.195,31.203,31.312,31.085,31.195,31.664,31.234,31.273,31.171,0.8037,0.8100,0.7975,0.8000,0.7988,0.8000,1.5012,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,1.5673,4.7871,0.1164,0.0756,0.1669,0.4028,1.5358,0.1095,0.1441,0.0117,0.0232,0.7092,1.1668,-0.0000,0.1878,0.1699,0.0030,11.1771
1789517196.00,33.414,31.750,34.968,31.289,31.023,31.281,30.500,31.031,31.054,31.710,31.570,31.726,31.054,31.343,31.460,0.8037,0.8087,0.7975,0.8000,0.7975,0.8000,1.5012,1.4988,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8788,1.2038,1.4950,2.5800,4.7757,0.1140,0.0756,0.1671,0.3624,1.5440,0.1087,0.1450,0.0126,0.0265,0.5724,1.1657,-0.0000,0.1878,0.1700,0.0030,12.0105
