epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1789114396.63,32.968,31.507,35.273,30.726,29.875,31.093,29.835,31.390,30.726,30.789,30.507,31.406,30.515,30.585,31.281,0.8037,0.8100,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3150,1.2012,1.1013,0.0037,0.8775,1.2012,1.4938,0.9404,4.7385,0.1128,0.0757,0.1665,0.1743,1.5280,0.1103,0.1431,0.0117,0.0249,0.5460,1.1668,0.0000,0.1876,0.1712,0.0030,10.1006
1789114397.63,33.109,31.656,35.273,30.710,30.281,30.882,29.867,31.039,31.132,30.898,31.007,31.515,30.445,30.757,31.492,0.8050,0.8087,0.7988,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8788,1.2025,1.4950,1.0143,4.7514,0.1158,0.0756,0.1673,0.1687,1.5371,0.1118,0.1441,0.0117,0.0249,0.5490,1.1687,-0.0000,0.1878,0.1729,0.0030,10.2039
1789114398.63,32.921,31.578,35.273,30.585,29.953,31.578,29.500,31.046,31.140,31.132,31.085,31.890,30.812,31.203,31.273,0.8037,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3150,1.2012,1.1025,0.0025,0.8788,1.2025,1.4938,0.8680,4.7433,0.1084,0.0752,0.1669,0.1679,1.5356,0.1095,0.1440,0.0126,0.0249,0.5454,1.1675,-0.0000,0.1878,0.1729,0.0030,10.0328
1789114399.63,32.906,31.304,35.273,30.703,29.953,30.921,29.859,30.523,30.640,31.179,30.656,31.351,31.156,30.703,31.351,0.8037,0.8087,0.8000,0.8000,0.7988,0.8000,1.5025,1.5000,1.8025,1.7963,3.3138,1.2012,1.1013,0.0037,0.8788,1.2025,1.4950,0.7475,4.7433,0.1156,0.0756,0.1669,0.1616,1.5310,0.1110,0.1442,0.0135,0.0232,0.5448,1.1662,-0.0000,0.1878,0.1699,0.0030,9.9051
1789114400.63,33.289,31.820,35.273,30.945,30.132,30.906,30.062,31.281,30.890,30.562,30.804,31.328,30.117,31.000,31.390,0.8025,0.8087,0.8000,0.8000,0.7988,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0050,0.8788,1.2038,1.4950,1.0593,4.7312,0.1148,0.0756,0.1665,0.1676,1.5386,0.1110,0.1441,0.0126,0.0232,0.5466,1.1675,-0.0000,0.1878,0.1700,0.0030,10.2195
1789114401.63,32.757,31.585,35.273,30.710,29.601,31.000,30.070,31.320,31.289,30.757,30.976,31.265,30.773,30.960,30.945,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3138,1.2012,1.1025,0.0037,0.8775,1.2025,1.4938,0.6993,4.7352,0.1098,0.0757,0.1669,0.1498,1.5288,0.1103,0.1440,0.0126,0.0249,0.5472,1.1675,-0.0000,0.1876,0.1684,0.0030,9.8309
1789114402.63,32.843,31.585,35.273,30.679,30.210,30.898,29.781,30.523,30.351,30.992,31.453,31.445,30.703,30.976,31.468,0.8037,0.8100,0.7988,0.8013,0.7975,0.8013,1.5012,1.5000,1.8000,1.7963,3.3150,1.2012,1.1013,0.0037,0.8775,1.2025,1.4938,0.4340,4.7466,0.1162,0.0757,0.1667,0.1719,1.5328,0.1103,0.1449,0.0117,0.0232,0.5490,1.1662,-0.0000,0.1876,0.1714,0.0015,9.6095
1789114403.63,32.757,31.382,35.273,30.750,30.281,31.429,30.093,30.875,31.007,30.632,30.773,31.414,30.507,30.859,31.429,0.8050,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7950,3.3150,1.2000,1.1013,0.0025,0.8775,1.2025,1.4938,1.0626,4.7231,0.1172,0.0756,0.1673,0.1627,1.5288,0.1103,0.1441,0.0126,0.0232,0.5460,1.1668,-0.0000,0.1887,0.1714,0.0022,10.2024
1789114404.63,32.875,31.453,35.273,30.750,29.960,30.960,30.164,31.023,30.898,30.835,30.625,31.476,30.828,30.851,31.007,0.8025,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.4988,1.8025,1.7963,3.3138,1.2012,1.1013,0.0025,0.8788,1.2025,1.4950,0.5056,4.7352,0.1112,0.0753,0.1669,0.1635,1.5326,0.1094,0.1442,0.0117,0.0249,0.5460,1.1668,-0.0000,0.1889,0.1699,0.0022,9.6542
1789114405.63,32.859,31.414,35.273,30.695,29.851,31.046,29.718,30.757,30.453,30.734,30.976,31.023,30.062,30.656,31.648,0.8037,0.8087,0.7988,0.8000,0.7988,0.8000,1.5012,1.5000,1.8000,1.7963,3.3150,1.2012,1.0988,0.0037,0.8800,1.2038,1.4938,0.6993,4.7393,0.1174,0.0760,0.1669,0.1676,1.5410,0.1095,0.1431,0.0117,0.0232,0.5466,1.1647,-0.0000,0.1870,0.1715,0.0030,9.8678
