epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1789181476.41,32.914,31.851,35.039,30.726,30.195,30.953,30.343,30.882,30.726,30.968,30.625,31.382,30.640,30.578,31.125,0.8037,0.8100,0.8000,0.8013,0.8000,0.8000,1.5038,1.4988,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,0.6993,4.7547,0.1132,0.0757,0.1672,0.1624,1.5383,0.1094,0.1440,0.0117,0.0249,0.5454,1.1668,-0.0000,0.1878,0.1715,0.0030,9.8753
1789181477.41,32.632,31.515,35.039,30.867,30.062,31.234,29.578,30.718,30.398,30.789,30.687,30.882,30.593,30.796,31.351,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5038,1.4988,1.8013,1.7963,3.3163,1.2000,1.1013,0.0025,0.8788,1.2025,1.4938,0.9163,4.7231,0.1184,0.0761,0.1669,0.1554,1.5316,0.1087,0.1441,0.0126,0.0249,0.5436,1.1662,0.0000,0.1867,0.1714,0.0030,10.0490
1789181478.41,32.820,31.328,35.039,30.656,29.992,31.335,29.828,30.593,30.656,30.570,30.507,30.914,30.695,30.921,31.437,0.8025,0.8087,0.7988,0.8000,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3125,1.2000,1.1013,0.0025,0.8775,1.2025,1.4938,1.2037,4.7312,0.1122,0.0756,0.1665,0.1623,1.5273,0.1110,0.1440,0.0126,0.0215,0.5454,1.1673,-0.0000,0.1865,0.1729,0.0030,10.3430
1789181479.41,32.570,31.296,35.039,30.734,29.929,30.875,29.921,30.718,30.695,30.546,30.968,31.695,30.375,30.851,31.414,0.8050,0.8100,0.7988,0.7988,0.7988,0.8025,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8775,1.2038,1.4950,0.5071,4.7466,0.1186,0.0755,0.1673,0.1541,1.5363,0.1103,0.1441,0.0126,0.0232,0.5460,1.1662,-0.0000,0.1876,0.1730,0.0030,9.6715
1789181480.41,32.843,31.570,35.039,30.726,30.015,31.054,30.148,30.867,30.820,30.968,30.859,30.945,30.625,30.523,31.171,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5038,1.5000,1.8013,1.7975,3.3150,1.2000,1.1013,0.0025,0.8775,1.2025,1.4938,0.6752,4.7191,0.1134,0.0760,0.1669,0.1502,1.5271,0.1110,0.1441,0.0126,0.0232,0.5460,1.1668,0.0000,0.1876,0.1714,0.0037,9.7942
1789181481.41,32.585,31.210,35.039,30.781,30.000,30.750,29.484,30.640,30.796,30.406,30.750,30.859,30.179,30.578,31.195,0.8037,0.8075,0.8000,0.8013,0.7975,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0050,0.8788,1.2038,1.4938,0.3376,4.7239,0.1084,0.0753,0.1667,0.1623,1.5356,0.1103,0.1495,0.0126,0.0232,0.5688,1.1662,-0.0000,0.1867,0.1730,0.0037,9.5037
1789181482.41,32.507,31.554,35.039,30.632,29.914,31.117,30.070,31.078,31.039,30.757,31.023,31.078,30.367,30.515,31.109,0.8037,0.8100,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7950,3.3150,1.2000,1.1013,0.0037,0.8775,1.2025,1.4938,1.2780,4.7426,0.1162,0.0757,0.1669,0.1687,1.5303,0.1103,0.1504,0.0126,0.0249,0.5766,1.1668,-0.0000,0.1876,0.1714,0.0022,10.4810
1789181483.41,32.898,31.132,35.039,30.742,29.476,30.953,29.890,30.578,30.335,30.609,30.640,31.226,30.679,30.585,31.429,0.8037,0.8087,0.7988,0.8013,0.7975,0.8013,1.5012,1.5012,1.8013,1.7963,3.3138,1.2000,1.1013,0.0025,0.8788,1.2025,1.4938,1.0127,4.7635,0.1154,0.0757,0.1667,0.4687,1.5358,0.1103,0.1441,0.0126,0.0232,0.7116,1.1668,-0.0000,0.1867,0.1729,0.0030,10.6698
1789181484.41,33.015,31.578,35.039,30.648,29.968,31.437,29.687,30.875,30.664,30.671,30.789,30.945,30.640,30.781,31.250,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5012,1.5000,1.8000,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2025,1.4938,1.2297,4.7433,0.1198,0.0756,0.1673,0.3674,1.5290,0.1110,0.1449,0.0117,0.0249,0.5490,1.1662,-0.0000,0.1878,0.1714,0.0022,10.6013
1789181485.41,33.093,31.523,35.039,30.218,30.312,30.703,29.851,30.375,30.554,31.109,30.695,31.007,30.343,30.828,31.273,0.8050,0.8100,0.7988,0.8013,0.7988,0.8013,1.5025,1.4988,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4925,0.5555,4.7345,0.1126,0.0761,0.1665,0.3706,1.5265,0.1109,0.1449,0.0117,0.0249,0.5478,1.1662,-0.0000,0.1878,0.1729,0.0022,9.9116
