epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1790301650.16,35.617,35.375,36.507,32.507,31.867,32.648,31.945,33.539,33.914,34.640,35.054,35.328,34.234,33.632,34.093,0.8037,0.8100,0.7988,0.8000,0.7975,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1025,0.0037,0.8788,1.2025,1.4938,5.8111,4.8438,0.1114,0.0664,0.1671,0.1558,1.5611,0.1103,0.1441,0.0126,0.0215,0.5460,1.1687,-0.0000,0.1911,0.1714,0.0030,15.0853
1790301651.16,36.226,35.617,36.507,32.539,32.601,32.328,31.984,33.710,33.710,34.601,35.492,35.593,34.710,34.039,33.851,0.8037,0.8100,0.8000,0.8013,0.7988,0.8013,1.5025,1.4988,1.8025,1.7950,3.3163,1.2000,1.1025,0.0037,0.8788,1.2038,1.4938,6.0763,4.8398,0.1172,0.0669,0.1677,0.1635,1.5694,0.1109,0.1442,0.0117,0.0216,0.5484,1.1675,-0.0000,0.1911,0.1715,0.0037,15.3714
1790301652.16,35.546,35.820,36.507,32.554,32.445,32.414,31.695,33.132,34.500,34.679,35.070,35.421,34.710,34.148,34.437,0.8037,0.8100,0.8000,0.8000,0.8000,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8788,1.2025,1.4938,6.0040,4.8357,0.1152,0.0672,0.1680,0.1640,1.5611,0.1103,0.1450,0.0126,0.0232,0.5472,1.1681,0.0000,0.1900,0.1714,0.0030,15.2859
1790301653.16,35.460,35.398,36.507,33.070,32.140,32.921,31.265,33.343,34.531,34.734,35.015,35.820,34.281,34.164,33.992,0.8037,0.8100,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2038,1.4938,5.4977,4.8438,0.1118,0.0669,0.1677,0.1635,1.5596,0.1095,0.1432,0.0126,0.0232,0.5478,1.1668,-0.0000,0.1911,0.1715,0.0030,14.7797
1790301654.16,35.570,35.500,36.507,32.265,31.843,32.742,31.984,33.273,34.226,34.718,35.148,35.601,34.687,34.226,34.507,0.8037,0.8100,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3138,1.2000,1.1000,0.0025,0.8788,1.2025,1.4938,5.3048,4.8357,0.1142,0.0669,0.1677,0.1651,1.5641,0.1110,0.1432,0.0117,0.0249,0.5466,1.1660,0.0000,0.1911,0.1714,0.0030,14.5873
1790301655.16,35.710,35.546,36.507,32.625,31.710,33.007,31.625,32.851,33.929,35.007,34.601,35.250,34.585,34.148,33.875,0.8037,0.8075,0.7988,0.8000,0.7988,0.8000,1.5025,1.4988,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8788,1.2038,1.4938,5.6905,4.8167,0.1150,0.0672,0.1673,0.1688,1.5581,0.1102,0.1441,0.0126,0.0249,0.5478,1.1679,-0.0000,0.1900,0.1730,0.0022,14.9564
1790301656.16,35.539,35.703,36.507,32.828,32.460,32.968,31.617,33.343,34.273,34.695,35.414,35.453,34.578,34.640,34.039,0.8037,0.8100,0.7988,0.8025,0.7988,0.8013,1.5025,1.5000,1.8025,1.7963,3.3138,1.2012,1.1013,0.0025,0.8788,1.2025,1.4938,5.9799,4.8641,0.1122,0.0670,0.1673,0.1631,1.5618,0.1110,0.1433,0.0117,0.0249,0.5472,1.1684,-0.0000,0.1922,0.1699,0.0045,15.2884
1790301657.16,35.367,35.656,36.507,32.812,31.757,32.390,31.781,33.484,34.140,35.265,34.992,35.898,35.078,34.000,34.328,0.8050,0.8087,0.7988,0.7988,0.7988,0.8013,1.5025,1.5000,1.8025,1.7975,3.3150,1.2012,1.1013,0.0037,0.8788,1.2050,1.4938,5.1198,4.8242,0.1170,0.0667,0.1673,0.1687,1.5724,0.1110,0.1424,0.0126,0.0249,0.5466,1.1673,-0.0000,0.1911,0.1702,0.0030,14.4051
1790301658.16,35.523,35.445,36.507,32.835,32.234,32.765,32.015,33.328,34.101,35.234,35.390,35.625,34.273,34.257,33.828,0.8037,0.8100,0.7988,0.8013,0.8000,0.8013,1.5012,1.4988,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4950,5.1842,4.8398,0.1158,0.0673,0.1676,0.1623,1.5590,0.1094,0.1432,0.0117,0.0215,0.5454,1.1662,-0.0000,0.1889,0.1729,0.0030,14.4582
1790301659.16,35.343,35.445,36.507,33.015,32.320,32.828,31.929,33.609,34.046,34.781,35.109,35.273,34.500,34.023,34.203,0.8050,0.8100,0.8000,0.8013,0.8000,0.8013,1.5038,1.4988,1.8013,1.7963,3.3150,1.2012,1.1000,0.0037,0.8788,1.2025,1.4950,4.8300,4.8559,0.1140,0.0673,0.1676,0.1691,1.5729,0.1109,0.1432,0.0108,0.0232,0.5472,1.1666,-0.0000,0.1933,0.1699,0.0022,14.1441
1790301660.16,35.851,35.968,36.507,32.164,32.085,32.765,31.640,33.156,33.968,34.867,35.312,35.992,34.937,34.375,34.312,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5012,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,6.0763,4.8404,0.1130,0.0672,0.1677,0.1683,1.5605,0.1103,0.1450,0.0117,0.0232,0.5448,1.1673,-0.0000,0.1911,0.1715,0.0030,15.3614
1790301661.16,35.304,35.914,36.507,32.406,32.257,32.843,31.773,33.679,34.281,34.640,35.257,35.250,34.640,34.312,34.226,0.8037,0.8087,0.7988,0.8013,0.8000,0.8000,1.5025,1.4988,1.8013,1.7963,3.3150,1.2000,1.1013,0.0050,0.8788,1.2025,1.4938,5.4253,4.8404,0.1154,0.0673,0.1676,0.1640,1.5618,0.1109,0.1441,0.0126,0.0232,0.5466,1.1673,-0.0000,0.1900,0.1714,0.0030,14.7109
1790301662.16,35.734,35.515,36.507,32.640,32.390,32.796,31.781,33.453,33.968,34.578,35.226,35.234,34.625,34.281,34.281,0.8037,0.8100,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.1987,1.1013,0.0037,0.8775,1.2038,1.4938,5.4253,4.8398,0.1106,0.0669,0.1673,0.1687,1.5603,0.1095,0.1441,0.0117,0.0249,0.5454,1.1668,-0.0000,0.1909,0.1700,0.0030,14.7052
1790301663.16,36.000,35.437,36.507,32.882,32.007,32.812,31.539,32.929,34.250,34.437,35.148,36.000,34.875,34.140,34.718,0.8037,0.8100,0.8000,0.8000,0.7988,0.8000,1.5025,1.5000,1.8000,1.7963,3.3150,1.2012,1.1025,0.0037,0.8788,1.2025,1.4950,5.7629,4.8398,0.1112,0.0672,0.1673,0.1588,1.5588,0.1095,0.1422,0.0135,0.0215,0.5472,1.1687,-0.0000,0.1922,0.1729,0.0030,15.0366
1790301664.16,35.546,35.460,36.507,33.023,32.117,32.734,31.945,33.156,33.750,34.765,34.976,35.671,34.492,33.804,33.718,0.8037,0.8087,0.8000,0.8000,0.7988,0.8013,1.5038,1.5000,1.8013,1.7975,3.3150,1.1987,1.1013,0.0025,0.8788,1.2038,1.4938,5.7147,4.8363,0.1140,0.0668,0.1673,0.1639,1.5662,0.1110,0.1441,0.0117,0.0249,0.5460,1.1662,-0.0000,0.1911,0.1715,0.0022,14.9979
1790301665.16,35.390,35.398,36.507,32.531,32.031,32.554,31.765,33.289,33.484,34.585,34.898,35.343,34.531,33.984,34.046,0.8037,0.8075,0.7988,0.8013,0.7988,0.8025,1.5025,1.4988,1.8013,1.7975,3.3150,1.2000,1.1025,0.0050,0.8788,1.2025,1.4938,5.1360,4.8248,0.1142,0.0669,0.1673,0.1629,1.5573,0.1102,0.1450,0.0126,0.0249,0.5466,1.1692,-0.0000,0.1900,0.1699,0.0030,14.4008
1790301666.16,35.851,35.671,36.507,32.195,32.250,32.773,31.984,33.203,33.921,34.984,35.023,35.460,34.710,34.242,34.093,0.8050,0.8075,0.7988,0.8013,0.7988,0.8013,1.5038,1.4988,1.8025,1.7963,3.3138,1.2012,1.1000,0.0037,0.8788,1.2038,1.4938,6.5446,4.8288,0.1126,0.0669,0.1677,0.1594,1.5616,0.1117,0.1442,0.0117,0.0249,0.5472,1.1655,0.0000,0.1933,0.1730,0.0030,15.8162
