epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1790265210.94,33.234,31.695,35.773,31.125,30.578,31.343,30.484,31.507,31.179,31.273,30.898,31.375,31.140,31.468,31.476,0.8025,0.8100,0.7988,0.8013,0.8000,0.8025,1.5025,1.5012,1.8013,1.7950,3.3163,1.2000,1.1013,0.0037,0.8775,1.2025,1.4950,2.8649,4.7912,0.1174,0.0697,0.1672,0.1677,1.5543,0.1103,0.1441,0.0126,0.0232,0.5502,1.1657,-0.0000,0.1876,0.1729,0.0030,12.1020
1790265211.94,32.976,31.945,35.773,30.968,30.460,31.484,30.078,31.718,31.335,30.867,31.406,31.546,31.132,31.250,31.437,0.8037,0.8100,0.7988,0.8000,0.7988,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1025,0.0050,0.8788,1.2025,1.4938,2.5559,4.7749,0.1146,0.0700,0.1673,0.1620,1.5641,0.1095,0.1441,0.0117,0.0232,0.5454,1.1670,-0.0000,0.1878,0.1714,0.0022,11.7712
1790265212.94,33.109,31.648,35.773,31.281,30.898,31.539,30.257,31.218,31.539,30.890,31.750,31.781,31.062,30.921,31.828,0.8025,0.8087,0.7975,0.8000,0.7988,0.8025,1.5025,1.5000,1.8013,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4950,2.9372,4.7838,0.1164,0.0696,0.1673,0.1689,1.5528,0.1110,0.1441,0.0126,0.0232,0.5448,1.1657,-0.0000,0.1878,0.1729,0.0022,12.1603
1790265213.94,33.453,31.734,35.773,30.984,30.421,31.609,30.867,31.468,31.164,31.476,31.359,31.664,30.625,30.515,31.765,0.8037,0.8100,0.7988,0.8000,0.7988,0.8025,1.5012,1.4988,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8775,1.2025,1.4950,2.7247,4.7790,0.1146,0.0696,0.1669,0.1689,1.5628,0.1102,0.1450,0.0135,0.0265,0.5454,1.1657,-0.0000,0.1876,0.1729,0.0030,11.9562
1790265214.94,33.335,31.757,35.773,31.359,30.625,31.515,30.117,31.382,31.085,31.515,31.453,31.718,30.406,30.906,31.375,0.8037,0.8100,0.8000,0.8000,0.8000,0.8013,1.5025,1.5000,1.8000,1.7950,3.3138,1.2000,1.1013,0.0037,0.8775,1.2025,1.4925,2.4595,4.7952,0.1132,0.0700,0.1668,0.1538,1.5528,0.1118,0.1449,0.0117,0.0232,0.5460,1.1673,-0.0000,0.1909,0.1714,0.0022,11.6806
1790265215.94,32.859,31.421,35.773,31.375,30.531,31.562,30.234,31.476,30.812,31.203,31.289,31.703,30.937,30.718,31.429,0.8037,0.8087,0.8000,0.8000,0.7988,0.8000,1.5025,1.5012,1.8013,1.7963,3.3150,1.2000,1.1000,0.0037,0.8788,1.2038,1.4938,2.5559,4.7797,0.1128,0.0696,0.1661,0.1600,1.5543,0.1103,0.1432,0.0117,0.0232,0.5466,1.1666,-0.0000,0.1900,0.1700,0.0030,11.7631
1790265216.94,33.179,31.742,35.773,31.296,30.476,30.812,30.390,31.187,31.234,31.414,30.898,31.500,30.765,30.750,31.554,0.8037,0.8100,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8000,1.7963,3.3150,1.2000,1.1000,0.0037,0.8788,1.2025,1.4938,3.0141,4.7831,0.1140,0.0701,0.1669,0.1667,1.5521,0.1110,0.1440,0.0126,0.0232,0.5508,1.1649,-0.0000,0.1878,0.1699,0.0037,12.2348
1790265217.94,33.187,31.515,35.773,30.851,29.992,31.375,29.820,31.203,31.062,31.296,30.976,31.765,31.078,31.062,31.468,0.8025,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8788,1.2038,1.4950,2.5760,4.7797,0.1148,0.0696,0.1669,0.1727,1.5536,0.1103,0.1441,0.0117,0.0215,0.5460,1.1657,-0.0000,0.1889,0.1715,0.0022,11.7952
1790265218.94,32.968,31.765,35.773,31.281,30.445,31.312,30.132,31.437,31.218,30.921,31.203,31.968,30.843,30.882,32.125,0.8037,0.8075,0.7988,0.8000,0.7988,0.8025,1.5025,1.4988,1.8013,1.7963,3.3138,1.2000,1.1013,0.0037,0.8775,1.2038,1.4938,2.5559,4.7764,0.1122,0.0696,0.1673,0.1685,1.5618,0.1102,0.1441,0.0126,0.0232,0.5490,1.1657,0.0000,0.1876,0.1730,0.0030,11.7801
1790265219.94,33.203,31.796,35.773,30.828,30.601,31.289,30.515,31.445,31.382,31.046,31.226,31.710,30.914,30.796,32.093,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5012,1.5000,1.8013,1.7950,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,2.4354,4.7838,0.1126,0.0697,0.1669,0.1554,1.5530,0.1103,0.1441,0.0135,0.0249,0.5478,1.1662,-0.0000,0.1900,0.1730,0.0037,11.6504
