epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1787795280.46,35.382,35.031,36.960,33.929,34.031,33.578,32.171,35.273,34.843,35.023,34.578,34.734,33.460,32.937,34.148,0.8037,0.8075,0.7988,0.8000,0.7988,0.8000,1.5025,1.5000,1.8025,1.7963,3.3150,1.2012,1.1013,0.0025,0.8788,1.2038,1.4938,1.5191,4.7481,0.1182,0.0540,0.1681,0.1652,1.5393,0.1103,0.1442,0.0117,0.0215,0.5478,1.1673,-0.0000,0.1922,0.1730,0.0030,10.6831
1787795281.46,35.164,34.820,36.960,34.125,34.468,33.898,32.390,34.851,34.898,34.476,34.265,35.210,33.273,33.171,33.640,0.8037,0.8100,0.7988,0.8013,0.7988,0.8025,1.5025,1.5000,1.8025,1.7950,3.3150,1.2012,1.1013,0.0037,0.8788,1.2025,1.4938,1.8808,4.7709,0.1106,0.0541,0.1677,0.1645,1.5446,0.1103,0.1433,0.0117,0.0232,0.5466,1.1668,-0.0000,0.1933,0.1684,0.0030,11.0596
1787795282.46,34.921,35.054,36.960,34.015,33.921,34.218,32.695,35.054,34.960,34.476,34.445,35.148,33.781,33.375,33.820,0.8037,0.8087,0.7988,0.8013,0.8000,0.8025,1.5025,1.4988,1.8013,1.7963,3.3150,1.1987,1.1013,0.0037,0.8788,1.2025,1.4925,1.0127,4.7676,0.1126,0.0545,0.1676,0.1697,1.5543,0.1102,0.1441,0.0126,0.0249,0.5454,1.1679,-0.0000,0.1911,0.1714,0.0037,10.2103
1787795283.46,35.062,35.015,36.960,34.125,33.945,33.820,32.828,34.937,34.851,34.406,34.539,34.468,33.421,33.265,34.164,0.8037,0.8100,0.7988,0.8000,0.7988,0.8025,1.5025,1.5000,1.8025,1.7950,3.3163,1.2012,1.1013,0.0025,0.8788,1.2025,1.4950,1.4709,4.7790,0.1118,0.0540,0.1681,0.1633,1.5483,0.1103,0.1433,0.0126,0.0232,0.5460,1.1668,0.0000,0.1900,0.1744,0.0022,10.6642
1787795284.46,35.070,35.164,36.960,34.187,33.976,33.617,32.328,35.164,35.085,34.562,34.460,34.562,33.648,33.484,33.578,0.8050,0.8100,0.7988,0.8000,0.7988,0.8013,1.5038,1.4988,1.8025,1.7963,3.3150,1.1987,1.1025,0.0037,0.8788,1.2025,1.4938,1.4490,4.7790,0.1126,0.0540,0.1677,0.1643,1.5428,0.1102,0.1433,0.0126,0.0232,0.5454,1.1681,-0.0000,0.1911,0.1699,0.0015,10.6347
1787795285.46,35.476,35.031,36.960,34.062,33.523,34.156,32.484,34.898,34.687,35.046,34.453,34.835,33.367,33.218,33.625,0.8037,0.8087,0.7988,0.8000,0.7988,0.8025,1.5012,1.5000,1.8013,1.7975,3.3150,1.2012,1.1013,0.0025,0.8775,1.2025,1.4938,1.4950,4.7716,0.1158,0.0540,0.1673,0.1633,1.5523,0.1110,0.1441,0.0126,0.0232,0.5466,1.1673,-0.0000,0.1909,0.1699,0.0037,10.6886
1787795286.46,34.890,34.875,36.960,34.085,33.398,33.671,32.242,34.460,34.789,34.648,34.445,34.398,33.375,33.171,33.445,0.8050,0.8113,0.7988,0.8000,0.7988,0.7988,1.5012,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0025,0.8788,1.2038,1.4938,2.0286,4.7742,0.1154,0.0544,0.1677,0.1689,1.5418,0.1095,0.1441,0.0117,0.0215,0.5454,1.1687,-0.0000,0.1922,0.1715,0.0030,11.2187
1787795287.46,35.109,35.179,36.960,33.976,33.648,33.640,32.289,34.929,34.914,34.921,34.281,34.796,33.281,33.179,33.656,0.8037,0.8087,0.7988,0.8013,0.8000,0.8025,1.5025,1.5000,1.8000,1.7963,3.3125,1.2000,1.1013,0.0025,0.8788,1.2025,1.4938,2.0978,4.7676,0.1150,0.0545,0.1676,0.1725,1.5401,0.1110,0.1431,0.0117,0.0215,0.5466,1.1673,-0.0000,0.1944,0.1714,0.0037,11.2858
1787795288.46,35.203,35.148,36.960,34.320,33.484,33.632,32.390,35.148,34.796,34.570,34.570,34.765,33.140,33.281,34.039,0.8037,0.8100,0.7988,0.8013,0.8000,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0050,0.8775,1.2025,1.4938,2.0737,4.7669,0.1114,0.0545,0.1676,0.1647,1.5551,0.1103,0.1432,0.0117,0.0249,0.5466,1.1679,-0.0000,0.1931,0.1714,0.0030,11.2656
1787795289.46,34.898,34.875,36.960,33.812,33.625,33.445,32.789,34.906,35.093,34.593,34.843,35.031,33.148,33.507,33.718,0.8037,0.8100,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3138,1.2000,1.1013,0.0050,0.8788,1.2025,1.4938,1.8326,4.7709,0.1144,0.0544,0.1677,0.1727,1.5438,0.1110,0.1423,0.0117,0.0232,0.5478,1.1673,0.0000,0.1933,0.1714,0.0030,11.0274
1787795290.46,34.945,35.218,36.960,34.125,33.898,33.789,32.250,35.218,34.593,34.546,34.773,34.359,33.171,33.445,33.195,0.8050,0.8100,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1025,0.0037,0.8775,1.2025,1.4938,1.7147,4.7669,0.1144,0.0537,0.1673,0.1522,1.5393,0.1095,0.1441,0.0117,0.0249,0.5466,1.1681,-0.0000,0.1941,0.1729,0.0037,10.8840
1787795291.46,35.281,34.984,36.960,33.898,34.039,34.148,32.398,35.304,34.765,34.789,34.687,35.023,33.031,33.343,33.789,0.8037,0.8100,0.7988,0.8013,0.7988,0.8013,1.5012,1.5000,1.8000,1.7963,3.3138,1.2000,1.1013,0.0037,0.8775,1.2038,1.4938,2.1219,4.7749,0.1142,0.0545,0.1677,0.1639,1.5433,0.1095,0.1440,0.0135,0.0249,0.5472,1.1668,-0.0000,0.1909,0.1730,0.0030,11.3131
1787795292.46,35.101,34.757,36.960,33.625,33.460,33.445,32.429,34.757,34.546,34.726,34.773,34.992,33.304,33.109,33.687,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8788,1.2038,1.4963,2.1942,4.7676,0.1124,0.0541,0.1673,0.1498,1.5438,0.1088,0.1441,0.0126,0.0249,0.5454,1.1673,-0.0000,0.1933,0.1700,0.0030,11.3586
1787795293.46,35.171,35.062,36.960,33.859,34.070,33.875,32.578,35.164,34.765,35.015,34.812,35.414,33.367,33.226,33.734,0.8050,0.8087,0.7975,0.8013,0.7988,0.8013,1.5025,1.5000,1.8025,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,1.6422,4.7595,0.1109,0.0537,0.1673,0.1659,1.5416,0.1103,0.1442,0.0126,0.0232,0.5466,1.1668,-0.0000,0.1922,0.1714,0.0030,10.8112
1787795294.46,35.148,35.093,36.960,34.140,33.820,33.914,32.554,34.851,35.093,34.351,34.578,34.648,33.281,33.312,33.445,0.8037,0.8100,0.8000,0.8013,0.7988,0.8037,1.5012,1.5000,1.8013,1.7963,3.3150,1.1987,1.1013,0.0025,0.8788,1.2025,1.4938,2.0496,4.7790,0.1108,0.0545,0.1677,0.1684,1.5448,0.1110,0.1423,0.0135,0.0249,0.5454,1.1673,-0.0000,0.1933,0.1729,0.0030,11.2483
1787795295.46,35.046,35.156,36.960,34.093,33.796,33.359,31.968,35.054,35.054,34.562,34.328,34.617,33.460,33.421,33.945,0.8037,0.8100,0.8000,0.8000,0.8000,0.8013,1.5025,1.5000,1.8000,1.7975,3.3150,1.2000,1.1038,0.0050,0.8788,1.2012,1.4938,1.8567,4.7912,0.1136,0.0544,0.1680,0.1643,1.5401,0.1110,0.1440,0.0135,0.0232,0.5460,1.1700,-0.0000,0.1944,0.1727,0.0030,11.0659
