epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1787846509.64,32.554,30.578,33.570,30.156,29.476,29.796,29.242,30.554,30.414,29.976,30.679,30.632,29.851,30.335,30.414,0.8037,0.8087,0.7988,0.8000,0.8000,0.8013,1.5025,1.4988,1.7988,1.7963,3.3163,1.2000,1.1013,0.0037,0.8788,1.2025,1.4950,-1.5432,4.7231,0.1122,0.0744,0.1668,0.1526,1.5303,0.1109,0.1439,0.0117,0.0249,0.5472,1.1662,-0.0000,0.1878,0.1714,0.0030,7.5832
1787846510.64,32.250,30.750,33.570,29.820,29.593,30.453,29.523,30.351,30.187,30.156,30.554,30.984,30.039,29.976,30.828,0.8037,0.8087,0.8000,0.8013,0.7988,0.8025,1.5025,1.4988,1.8013,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4938,-2.4112,4.7352,0.1156,0.0753,0.1665,0.1645,1.5333,0.1102,0.1441,0.0126,0.0249,0.5454,1.1662,0.0000,0.1867,0.1699,0.0037,6.7429
1787846511.64,32.148,30.843,33.570,29.968,29.804,30.304,29.859,30.367,30.234,30.257,30.289,30.968,29.937,30.656,30.898,0.8025,0.8100,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8000,1.7950,3.3138,1.2000,1.1013,0.0025,0.8788,1.2038,1.4938,-1.8538,4.7304,0.1134,0.0749,0.1669,0.1679,1.5265,0.1125,0.1431,0.0126,0.0232,0.5466,1.1662,-0.0000,0.1867,0.1700,0.0022,7.2895
1787846512.64,31.992,30.914,33.570,30.242,29.820,30.265,29.546,30.414,29.625,30.015,29.859,30.257,29.976,30.156,30.703,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5012,1.5012,1.8000,1.7963,3.3150,1.2012,1.1025,0.0050,0.8788,1.2025,1.4938,-2.3148,4.7231,0.1164,0.0745,0.1669,0.1607,1.5238,0.1103,0.1449,0.0117,0.0249,0.5472,1.1675,-0.0000,0.1867,0.1699,0.0022,6.8159
1787846513.64,32.164,31.078,33.570,30.617,29.914,30.539,29.710,29.953,30.437,30.179,30.296,30.757,30.500,30.625,30.890,0.8025,0.8087,0.7988,0.8000,0.8000,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8788,1.2038,1.4938,-1.3482,4.7312,0.1158,0.0752,0.1664,0.1520,1.5258,0.1103,0.1432,0.0126,0.0232,0.5466,1.1675,0.0000,0.1867,0.1700,0.0022,7.7806
1787846514.64,31.882,31.015,33.570,30.507,29.554,30.242,29.546,30.414,30.179,30.406,30.070,30.976,29.882,30.351,30.710,0.8037,0.8087,0.7988,0.8013,0.7988,0.8013,1.5025,1.4988,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8788,1.2025,1.4925,-1.3985,4.7231,0.1122,0.0749,0.1665,0.1687,1.5265,0.1102,0.1450,0.0126,0.0249,0.5472,1.1670,-0.0000,0.1867,0.1714,0.0037,7.7421
1787846515.64,32.054,31.000,33.570,30.187,29.234,30.296,29.492,30.523,30.257,30.234,30.101,30.843,30.101,30.210,30.656,0.8037,0.8087,0.7988,0.8013,0.8000,0.8013,1.5025,1.4988,1.8013,1.7963,3.3138,1.2000,1.1013,0.0025,0.8788,1.2025,1.4938,-1.5432,4.7191,0.1138,0.0749,0.1672,0.1615,1.5378,0.1094,0.1441,0.0117,0.0249,0.5454,1.1657,-0.0000,0.1867,0.1699,0.0030,7.5917
1787846516.64,31.945,30.515,33.570,30.351,29.515,30.203,29.468,30.460,30.273,30.085,30.218,30.757,30.179,30.382,30.945,0.8037,0.8087,0.8000,0.8000,0.7975,0.8025,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8775,1.2025,1.4938,-1.9531,4.7150,0.1136,0.0748,0.1667,0.1565,1.5265,0.1118,0.1450,0.0126,0.0215,0.5466,1.1662,-0.0000,0.1865,0.1714,0.0030,7.1645
1787846517.64,32.000,30.757,33.570,30.125,29.320,30.281,29.625,30.414,29.757,29.968,30.578,30.914,30.140,30.140,30.679,0.8037,0.8075,0.8000,0.8000,0.7988,0.8013,1.5025,1.5012,1.8025,1.7963,3.3150,1.2000,1.1000,0.0037,0.8775,1.2038,1.4938,-2.3148,4.7118,0.1164,0.0752,0.1669,0.1615,1.5371,0.1103,0.1451,0.0126,0.0249,0.5490,1.1649,-0.0000,0.1876,0.1700,0.0045,6.8229
1787846518.64,31.953,31.242,33.570,30.250,29.648,30.195,29.140,30.125,30.953,30.351,29.890,31.093,29.953,30.296,30.632,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.5012,1.8025,1.7963,3.3150,1.2000,1.1013,0.0037,0.8775,1.2038,1.4938,-2.0737,4.7271,0.1116,0.0745,0.1665,0.1627,1.5273,0.1118,0.1451,0.0126,0.0215,0.5448,1.1662,-0.0000,0.1865,0.1715,0.0030,7.0591
