epoch,versal,aie,sysmon_max,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1786330467.38,32.460,30.687,34.070,0.8037,0.8087,0.7988,0.8013,0.8000,0.8025,1.5025,1.5000,1.8000,1.7950,3.3150,1.1987,1.1025,0.0037,0.8775,1.2038,1.4938,-1.5432,4.7352,0.1098,0.0753,0.1668,0.1701,1.5393,0.1103,0.1440,0.0126,0.0232,0.5454,1.1675,-0.0000,0.1865,0.1715,0.0030,7.6174
1786330468.38,31.867,31.101,34.070,0.8037,0.8087,0.7975,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3163,1.2012,1.1013,0.0025,0.8775,1.2025,1.4938,-0.6510,4.7150,0.1156,0.0752,0.1665,0.1635,1.5280,0.1110,0.1432,0.0126,0.0216,0.5466,1.1657,-0.0000,0.1854,0.1699,0.0022,8.4709
1786330469.38,31.968,31.007,34.070,0.8037,0.8087,0.8000,0.8013,0.7988,0.8013,1.5025,1.4988,1.8013,1.7975,3.3150,1.2000,1.1013,0.0037,0.8775,1.2038,1.4938,-1.5191,4.7191,0.1080,0.0749,0.1665,0.1687,1.5280,0.1094,0.1450,0.0126,0.0232,0.5448,1.1657,-0.0000,0.1854,0.1700,0.0030,7.6052
1786330470.38,31.851,30.835,34.070,0.8037,0.8087,0.8000,0.8013,0.8000,0.8013,1.5025,1.5000,1.8013,1.7963,3.3138,1.2000,1.1000,0.0050,0.8788,1.2025,1.4938,-1.6638,4.7191,0.1120,0.0753,0.1668,0.1615,1.5273,0.1110,0.1450,0.0135,0.0232,0.5460,1.1649,0.0000,0.1867,0.1714,0.0022,7.4621
1786330471.38,31.734,30.851,34.070,0.8037,0.8087,0.8000,0.8000,0.7975,0.8013,1.5025,1.4988,1.8000,1.7950,3.3150,1.2012,1.1013,0.0037,0.8788,1.2025,1.4950,-1.4468,4.7231,0.1104,0.0748,0.1671,0.1651,1.5265,0.1109,0.1440,0.0108,0.0249,0.5460,1.1662,-0.0000,0.1867,0.1714,0.0030,7.6840
1786330472.38,31.898,30.867,34.070,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5012,1.4988,1.8013,1.7963,3.3150,1.2000,1.1013,0.0037,0.8775,1.2012,1.4938,-2.0737,4.7191,0.1138,0.0752,0.1669,0.1731,1.5358,0.1094,0.1450,0.0117,0.0249,0.5466,1.1662,-0.0000,0.1854,0.1697,0.0030,7.0720
1786330473.38,31.921,30.601,34.070,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7950,3.3138,1.1987,1.1025,0.0037,0.8788,1.2038,1.4938,-1.1574,4.7191,0.1150,0.0752,0.1665,0.1639,1.5295,0.1103,0.1432,0.0126,0.0249,0.5466,1.1670,-0.0000,0.1878,0.1715,0.0030,7.9787
1786330474.38,32.367,30.781,34.070,0.8037,0.8087,0.7988,0.8000,0.7988,0.8013,1.5012,1.5000,1.8013,1.7963,3.3138,1.2000,1.1013,0.0037,0.8788,1.2025,1.4950,-1.5432,4.7271,0.1194,0.0752,0.1665,0.1594,1.5313,0.1095,0.1441,0.0135,0.0232,0.5448,1.1657,-0.0000,0.1878,0.1699,0.0030,7.5972
1786330475.38,32.226,30.773,34.070,0.8037,0.8075,0.8000,0.8013,0.8000,0.8000,1.5012,1.5000,1.7988,1.7975,3.3150,1.2012,1.1000,0.0037,0.8788,1.2025,1.4925,-1.0851,4.6956,0.1132,0.0749,0.1668,0.1612,1.5223,0.1110,0.1439,0.0126,0.0249,0.5454,1.1649,-0.0000,0.1867,0.1699,0.0030,8.0111
1786330476.38,31.773,30.695,34.070,0.8037,0.8075,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8025,1.7950,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,-1.4709,4.7198,0.1172,0.0752,0.1669,0.1631,1.5295,0.1110,0.1442,0.0126,0.0215,0.5448,1.1657,-0.0000,0.1867,0.1715,0.0022,7.6612
