epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1790111817.40,33.343,31.953,36.179,31.953,30.804,31.164,30.828,31.546,31.554,31.117,31.835,31.882,31.414,31.601,31.500,0.8037,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1025,0.0037,0.8788,1.2038,1.4950,1.8084,4.7797,0.1164,0.0696,0.1673,0.1695,1.5551,0.1110,0.1432,0.0126,0.0232,0.5460,1.1675,-0.0000,0.1889,0.1715,0.0022,11.0323
1790111818.40,33.414,32.101,36.179,31.625,30.453,31.632,30.250,31.945,31.406,31.578,31.835,31.632,31.359,31.765,31.593,0.8037,0.8100,0.8000,0.8000,0.8000,0.8013,1.5012,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8788,1.2038,1.4938,2.7247,4.7912,0.1140,0.0696,0.1672,0.1667,1.5628,0.1110,0.1441,0.0126,0.0249,0.5472,1.1651,0.0000,0.1867,0.1730,0.0030,11.9637
1790111819.40,33.351,31.968,36.179,31.515,30.796,31.750,30.851,31.687,31.312,31.625,31.710,32.156,31.492,31.507,31.890,0.8037,0.8100,0.7975,0.8000,0.7988,0.8000,1.5025,1.5000,1.8013,1.7963,3.3138,1.2012,1.1013,0.0037,0.8775,1.2038,1.4938,3.0623,4.7871,0.1124,0.0696,0.1669,0.1636,1.5558,0.1095,0.1441,0.0117,0.0232,0.5478,1.1662,-0.0000,0.1898,0.1715,0.0030,12.2846
1790111820.40,33.296,32.070,36.179,31.414,30.531,31.773,30.375,31.710,31.117,31.281,31.617,32.398,31.023,31.171,31.750,0.8037,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.5000,1.8000,1.7950,3.3150,1.2000,1.1025,0.0037,0.8788,1.2038,1.4950,2.2184,4.7959,0.1128,0.0696,0.1673,0.1635,1.5536,0.1103,0.1440,0.0126,0.0232,0.5466,1.1670,-0.0000,0.1900,0.1700,0.0022,11.4469
1790111821.40,33.406,32.429,36.179,31.382,30.617,31.734,30.546,32.031,31.687,31.445,31.500,32.203,30.937,31.289,32.046,0.8037,0.8087,0.8000,0.8000,0.7988,0.8013,1.5012,1.5012,1.8025,1.7950,3.3163,1.2000,1.1013,0.0037,0.8775,1.2025,1.4950,2.7488,4.7838,0.1132,0.0692,0.1669,0.1759,1.5538,0.1103,0.1442,0.0126,0.0232,0.5460,1.1662,-0.0000,0.1887,0.1714,0.0030,11.9771
1790111822.40,32.976,32.046,36.179,31.609,30.578,31.585,30.335,31.687,30.984,31.390,31.570,32.257,31.429,31.351,31.781,0.8037,0.8100,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2038,1.4938,2.5800,4.7993,0.1146,0.0697,0.1673,0.1683,1.5536,0.1095,0.1441,0.0126,0.0232,0.5472,1.1668,-0.0000,0.1889,0.1715,0.0030,11.8196
1790111823.40,33.523,32.031,36.179,31.921,30.765,31.906,30.414,31.523,31.500,31.164,31.585,31.351,30.882,30.992,31.906,0.8037,0.8100,0.8000,0.8013,0.8000,0.8013,1.5025,1.5012,1.8000,1.7963,3.3150,1.1987,1.1013,0.0037,0.8788,1.2038,1.4963,2.4354,4.7993,0.1152,0.0701,0.1672,0.1554,1.5634,0.1111,0.1431,0.0126,0.0215,0.5454,1.1662,-0.0000,0.1878,0.1700,0.0037,11.6675
1790111824.40,33.257,31.960,36.179,31.234,30.875,31.257,30.500,31.539,31.695,31.593,31.679,32.117,31.164,31.695,31.734,0.8025,0.8100,0.8000,0.8000,0.7988,0.8013,1.5025,1.4975,1.8025,1.7950,3.3150,1.2000,1.1013,0.0025,0.8788,1.2025,1.4950,2.8409,4.8236,0.1168,0.0696,0.1673,0.1675,1.5521,0.1093,0.1442,0.0135,0.0249,0.5466,1.1668,-0.0000,0.1911,0.1699,0.0022,12.1061
1790111825.40,33.304,32.367,36.179,31.328,30.890,31.585,30.859,32.109,31.539,31.539,31.445,32.312,31.156,31.414,31.554,0.8037,0.8087,0.7988,0.8000,0.7975,0.8013,1.5025,1.5000,1.8013,1.7963,3.3163,1.2012,1.1013,0.0037,0.8775,1.2025,1.4938,2.8694,4.7959,0.1118,0.0696,0.1671,0.1623,1.5611,0.1118,0.1441,0.0126,0.0216,0.5460,1.1668,-0.0000,0.1887,0.1699,0.0022,12.1006
1790111826.40,33.320,32.164,36.179,31.468,30.765,31.531,30.539,31.750,32.429,31.929,31.835,31.531,31.304,31.351,31.625,0.8037,0.8087,0.8000,0.8013,0.8000,0.8013,1.5025,1.5000,1.8013,1.7950,3.3150,1.2012,1.1013,0.0037,0.8775,1.2025,1.4938,3.0141,4.7797,0.1148,0.0697,0.1676,0.1611,1.5581,0.1103,0.1432,0.0117,0.0232,0.5460,1.1673,-0.0000,0.1887,0.1699,0.0030,12.2281
