epoch,versal,aie,sysmon_max,aie_ch1,aie_ch2,aie_ch3,aie_ch4,aie_ch5,aie_ch6,aie_ch7,aie_ch8,aie_ch9,aie_ch10,aie_ch11,aie_ch12,VCCINT_V,VCC_SOC_V,VCC_PMC_V,VCC_RAM_V,VCCINT_PSLP_V,VCCINT_PSFP_V,VCCAUX_V,VCCAUX_PMC_V,VCC_MIO_V,VCC1V8_V,VCC3V3_V,VCC_DDR4_V,VCC1V1_LP4_V,VADJ_FMC_V,MGTYAVCC_V,MGTYAVTT_V,MGTYVCCAUX_V,VCCINT_W,VCC_SOC_W,VCC_PMC_W,VCC_RAM_W,VCCINT_PSLP_W,VCCINT_PSFP_W,VCCAUX_W,VCCAUX_PMC_W,VCC_MIO_W,VCC1V8_W,VCC3V3_W,VCC_DDR4_W,VCC1V1_LP4_W,VADJ_FMC_W,MGTYAVCC_W,MGTYAVTT_W,MGTYVCCAUX_W,total_W
1789722799.16,35.445,35.453,36.468,32.390,31.976,32.625,31.476,32.945,34.273,34.539,35.171,35.257,34.507,34.078,34.039,0.8037,0.8087,0.7988,0.8000,0.7988,0.8025,1.5025,1.5012,1.8013,1.7963,3.3150,1.2012,1.1013,0.0037,0.8788,1.2025,1.4938,5.5700,4.8242,0.1154,0.0664,0.1673,0.1673,1.5618,0.1118,0.1423,0.0135,0.0232,0.5454,1.1673,-0.0000,0.1900,0.1714,0.0030,14.8404
1789722800.16,35.640,35.515,36.468,32.453,32.234,32.726,31.726,33.242,34.187,34.742,34.984,35.968,34.742,34.437,34.382,0.8050,0.8113,0.8000,0.7988,0.7988,0.8000,1.5038,1.4988,1.8013,1.7975,3.3150,1.2012,1.1013,0.0050,0.8788,1.2038,1.4938,5.6994,4.8594,0.1164,0.0667,0.1673,0.1488,1.5564,0.1094,0.1441,0.0126,0.0232,0.5466,1.1662,-0.0000,0.1900,0.1715,0.0030,14.9810
1789722801.16,35.515,35.984,36.468,32.796,32.093,33.000,31.257,33.601,34.328,34.445,34.539,35.742,34.164,34.039,34.000,0.8037,0.8087,0.7988,0.8000,0.8000,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2025,1.4925,6.1969,4.8282,0.1170,0.0672,0.1680,0.1684,1.5671,0.1110,0.1432,0.0117,0.0232,0.5448,1.1662,-0.0000,0.1900,0.1714,0.0030,15.4773
1789722802.16,35.429,35.601,36.468,32.398,32.070,32.671,31.421,33.273,33.796,34.679,35.054,35.468,33.921,34.007,33.585,0.8050,0.8087,0.8000,0.8013,0.7988,0.8013,1.5038,1.5012,1.8000,1.7975,3.3150,1.2000,1.1013,0.0050,0.8788,1.2025,1.4950,5.5545,4.8444,0.1148,0.0669,0.1673,0.1631,1.5564,0.1096,0.1440,0.0126,0.0232,0.5460,1.1673,-0.0000,0.1922,0.1729,0.0030,14.8382
1789722803.16,35.882,35.328,36.468,32.390,31.976,32.476,31.304,33.250,34.414,34.937,35.101,35.351,34.820,33.984,33.976,0.8037,0.8100,0.8000,0.8013,0.8000,0.8013,1.5012,1.5000,1.8013,1.7963,3.3150,1.1987,1.1013,0.0037,0.8788,1.2050,1.4938,6.0040,4.8519,0.1116,0.0669,0.1676,0.1603,1.5590,0.1095,0.1441,0.0126,0.0215,0.5454,1.1662,-0.0000,0.1900,0.1717,0.0030,15.2854
1789722804.16,35.234,35.570,36.468,32.625,32.023,32.812,31.796,33.210,34.226,34.851,35.093,35.625,34.445,33.953,33.687,0.8025,0.8100,0.7988,0.8000,0.7988,0.8000,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1025,0.0050,0.8788,1.2025,1.4938,5.7299,4.8398,0.1126,0.0668,0.1677,0.1736,1.5611,0.1103,0.1486,0.0126,0.0232,0.5688,1.1675,-0.0000,0.1922,0.1714,0.0037,15.0497
1789722805.16,35.593,35.601,36.468,32.695,31.890,32.453,31.585,33.601,33.882,34.718,35.101,35.359,34.304,34.218,33.734,0.8025,0.8087,0.8000,0.8000,0.7988,0.8013,1.5025,1.4988,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8788,1.2038,1.4938,5.4169,4.8282,0.1124,0.0664,0.1677,0.1727,1.5709,0.1109,0.1449,0.0117,0.0249,0.5946,1.1673,-0.0000,0.1911,0.1730,0.0022,14.7559
1789722806.16,35.734,35.718,36.609,32.203,32.140,32.492,31.640,33.250,34.132,35.078,35.578,35.500,34.710,33.906,34.101,0.8050,0.8087,0.7988,0.8013,0.8000,0.7988,1.5012,1.5000,1.8000,1.7963,3.3150,1.2000,1.1013,0.0037,0.8775,1.2038,1.4938,8.2835,4.8444,0.1126,0.0669,0.1676,0.3758,1.5688,0.1110,0.1440,0.0126,0.0249,0.6018,1.1668,-0.0000,0.1920,0.1730,0.0022,17.8478
1789722807.16,36.398,36.117,36.937,32.578,32.437,32.875,31.734,33.656,34.804,35.531,35.968,36.734,34.929,34.671,34.773,0.8050,0.8087,0.7988,0.8013,0.8013,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2000,1.1013,0.0025,0.8788,1.2038,1.4938,7.4624,4.8485,0.1138,0.0669,0.1675,0.3710,1.5603,0.1103,0.1432,0.0126,0.0249,0.6012,1.1662,-0.0000,0.1911,0.1730,0.0030,17.0158
1789722808.16,36.312,36.523,37.195,32.671,32.000,32.601,31.867,33.828,34.835,35.960,35.695,36.304,35.398,35.109,34.210,0.8025,0.8100,0.7988,0.8013,0.7988,0.8013,1.5025,1.5000,1.8013,1.7963,3.3150,1.2012,1.1013,0.0050,0.8788,1.2025,1.4950,7.6559,4.8600,0.1170,0.0665,0.1677,0.3758,1.5701,0.1103,0.1441,0.0126,0.0232,0.6024,1.1668,-0.0000,0.1911,0.1714,0.0022,17.2371
