component,test,max_err,rmse,tolerance,kind,pass
attn_block,obj_blocks,0.026574,0.009827,0.1,vector,PASS
attn_block,cand_blocks,9e-06,3e-06,0.1,vector,PASS
attn_block,cross_blocks,0.058258,0.014694,0.1,vector,PASS
autoencoder,c0_latent,4e-06,,,array,PASS
autoencoder,c1_latent,2e-06,,,array,PASS
autoencoder,c0_decoded,7e-06,,,array,PASS
autoencoder,c1_decoded,5e-06,,,array,PASS
autoencoder,mse_loss,1e-06,,0.01,scalar,PASS
autoencoder,mse_xloss,1e-06,,0.01,scalar,PASS
autoencoder,latent_dist,0.0,,0.01,scalar,PASS
cand_build,cand_build,4e-06,2e-06,0.1,vector,PASS
cand_lorentz,x_to_p4,0.0625,0.00904,1.0,vector,PASS
cand_lorentz,cand_p4,0.002083,0.000808,5.0,vector,PASS
cand_lorentz,mass_scaled,0.0,0.0,0.1,vector,PASS
cand_lorentz,ae_input,0.0,0.0,0.1,vector,PASS
embed_ffn,embed_ffn,9e-06,5e-06,0.1,vector,PASS
pairwise_mlp,pairwise_mlp,6e-06,4e-06,0.1,vector,PASS
passwd_top,mse_loss,0.000186,,0.01,scalar,PASS
passwd_top,mse_xloss,0.000168,,0.01,scalar,PASS
passwd_top,latent_dist,3.6e-05,,0.01,scalar,PASS
pl_stream,mse_loss,0.341786,,0.5,stream,PASS
pl_stream,mse_crossed,0.34253,,0.5,stream,PASS
pl_stream,latent_dist,0.004329,,0.5,stream,PASS
