kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed  [direct registers]
aie_stream_top,1,30,0.07740,0.07767,77.400,3/3
aie_stream_top,2,30,0.08693,0.08718,43.465,6/6
aie_stream_top,4,30,0.10606,0.10626,26.515,12/12
aie_stream_top,8,30,0.14434,0.14453,18.043,24/24
aie_stream_top,16,30,0.22083,0.22096,13.802,48/48
aie_stream_top,32,30,0.37376,0.37400,11.680,96/96
aie_stream_top,64,30,0.67971,0.67986,10.620,192/192
aie_stream_top,128,30,1.29162,1.29183,10.091,384/384
aie_stream_top,256,30,2.51539,2.51561,9.826,768/768
SWEEP_DONE
