kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
aie_stream_top,1,30,0.81589,0.81913,815.891,3/3
aie_stream_top,2,30,0.87701,0.87763,438.505,6/6
aie_stream_top,4,30,0.99126,0.99350,247.815,12/12
aie_stream_top,8,30,1.22430,1.22498,153.038,24/24
aie_stream_top,16,30,1.68613,1.68836,105.383,48/48
aie_stream_top,32,30,2.61286,2.61543,81.652,96/96
aie_stream_top,64,30,4.46752,4.46890,69.805,192/192
aie_stream_top,128,30,8.17432,8.17621,63.862,384/384
aie_stream_top,256,30,15.58807,15.58979,60.891,768/768
SWEEP_DONE
