kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
aie_stream_top,1,30,0.10824,0.10872,108.240,3/3
aie_stream_top,2,30,0.11796,0.11825,58.980,6/6
aie_stream_top,4,30,0.13815,0.13851,34.538,12/12
aie_stream_top,8,30,0.17683,0.17713,22.104,24/24
aie_stream_top,16,30,0.25437,0.25489,15.898,48/48
aie_stream_top,32,30,0.40590,0.40647,12.684,96/96
aie_stream_top,64,30,0.70942,0.71001,11.085,192/192
aie_stream_top,128,30,1.31647,1.31738,10.285,384/384
aie_stream_top,256,30,2.52920,2.53102,9.880,768/768
SWEEP_DONE
