kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed  [direct registers]
aie_stream_top,1,30,0.08730,0.08756,87.300,3/3
aie_stream_top,2,30,0.09684,0.09685,48.420,6/6
aie_stream_top,4,30,0.11583,0.11599,28.958,12/12
aie_stream_top,8,30,0.15376,0.15390,19.220,24/24
aie_stream_top,16,30,0.22955,0.22971,14.347,48/48
aie_stream_top,32,30,0.38129,0.38133,11.915,96/96
aie_stream_top,64,30,0.68475,0.68493,10.699,192/192
aie_stream_top,128,30,1.29153,1.29175,10.090,384/384
aie_stream_top,256,30,2.50521,2.50542,9.786,768/768
SWEEP_DONE
