kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
aie_stream_top,1,30,0.18074,0.18115,180.740,3/3
aie_stream_top,2,30,0.19243,0.19404,96.215,6/6
aie_stream_top,4,30,0.21631,0.21893,54.078,12/12
aie_stream_top,8,30,0.26019,0.26362,32.524,24/24
aie_stream_top,16,30,0.35336,0.35448,22.085,48/48
aie_stream_top,32,30,0.53488,0.53551,16.715,96/96
aie_stream_top,64,30,0.89673,0.89784,14.011,192/192
aie_stream_top,128,30,1.61816,1.62185,12.642,384/384
aie_stream_top,256,30,3.06863,3.06947,11.987,768/768
SWEEP_DONE
