kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
aie_stream_top,1,30,0.15790,0.15853,157.900,3/3
aie_stream_top,2,30,0.16552,0.16677,82.760,6/6
aie_stream_top,4,30,0.18159,0.18484,45.398,12/12
aie_stream_top,8,30,0.21375,0.21427,26.719,24/24
aie_stream_top,16,30,0.27294,0.27346,17.059,48/48
aie_stream_top,32,30,0.39140,0.39194,12.231,96/96
aie_stream_top,64,30,0.62491,0.62883,9.764,192/192
aie_stream_top,128,30,1.10303,1.10384,8.617,384/384
aie_stream_top,256,30,2.05137,2.05218,8.013,768/768
SWEEP_DONE
