kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed  [direct registers]
aie_stream_top,1,30,0.05549,0.05554,55.490,3/3
aie_stream_top,2,30,0.06220,0.06224,31.100,6/6
aie_stream_top,4,30,0.07524,0.07528,18.810,12/12
aie_stream_top,8,30,0.10132,0.10135,12.665,24/24
aie_stream_top,16,30,0.15346,0.15349,9.591,48/48
aie_stream_top,32,30,0.25772,0.25776,8.054,96/96
aie_stream_top,64,30,0.46630,0.46643,7.286,192/192
aie_stream_top,128,30,0.88365,0.88381,6.904,384/384
aie_stream_top,256,30,1.71835,1.71851,6.712,768/768
SWEEP_DONE
