kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed  [direct registers]
aie_stream_top,1,30,0.04558,0.04592,45.580,3/3
aie_stream_top,2,30,0.05075,0.05078,25.375,6/6
aie_stream_top,4,30,0.06056,0.06075,15.140,12/12
aie_stream_top,8,30,0.08048,0.08050,10.060,24/24
aie_stream_top,16,30,0.12015,0.12018,7.509,48/48
aie_stream_top,32,30,0.19969,0.19989,6.240,96/96
aie_stream_top,64,30,0.35859,0.35861,5.603,192/192
aie_stream_top,128,30,0.67655,0.67676,5.286,384/384
aie_stream_top,256,30,1.31248,1.31263,5.127,768/768
SWEEP_DONE
