kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.52672,0.52887,526.720,3/3
pl_stream_top,2,30,0.65845,0.65920,329.226,6/6
pl_stream_top,4,30,0.91219,0.91602,228.048,12/12
pl_stream_top,8,30,1.42699,1.42962,178.374,24/24
pl_stream_top,16,30,2.45448,2.45700,153.405,48/48
pl_stream_top,32,30,4.51056,4.51152,140.955,96/96
pl_stream_top,64,30,8.61873,8.62037,134.668,192/192
pl_stream_top,128,30,16.83715,16.83791,131.540,384/384
pl_stream_top,256,30,33.27150,33.27391,129.967,768/768
SWEEP_DONE
