kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.36267,0.36488,362.670,3/3
pl_stream_top,2,30,0.44410,0.44732,222.050,6/6
pl_stream_top,4,30,0.60468,0.60721,151.170,12/12
pl_stream_top,8,30,0.92536,0.92665,115.670,24/24
pl_stream_top,16,30,1.56247,1.56498,97.654,48/48
pl_stream_top,32,30,2.84091,2.84235,88.778,96/96
pl_stream_top,64,30,5.39544,5.39696,84.304,192/192
pl_stream_top,128,30,10.50475,10.50551,82.068,384/384
pl_stream_top,256,30,20.72064,20.72266,80.940,768/768
SWEEP_DONE
