kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.31533,0.31946,315.331,3/3
pl_stream_top,2,30,0.38095,0.38539,190.475,6/6
pl_stream_top,4,30,0.51240,0.51651,128.100,12/12
pl_stream_top,8,30,0.77558,0.77996,96.948,24/24
pl_stream_top,16,30,1.30161,1.30626,81.351,48/48
pl_stream_top,32,30,2.35435,2.35834,73.573,96/96
pl_stream_top,64,30,4.45856,4.46265,69.665,192/192
pl_stream_top,128,30,8.66585,8.66680,67.702,384/384
pl_stream_top,256,30,17.08113,17.08560,66.723,768/768
SWEEP_DONE
