kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.18162,0.18536,181.620,3/3
pl_stream_top,2,30,0.21500,0.21860,107.500,6/6
pl_stream_top,4,30,0.28231,0.28629,70.578,12/12
pl_stream_top,8,30,0.41699,0.42091,52.124,24/24
pl_stream_top,16,30,0.68618,0.69082,42.886,48/48
pl_stream_top,32,30,1.22546,1.22966,38.296,96/96
pl_stream_top,64,30,2.30275,2.30716,35.980,192/192
pl_stream_top,128,30,4.45835,4.46254,34.831,384/384
pl_stream_top,256,30,8.76733,8.77240,34.247,768/768
SWEEP_DONE
