kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.14492,0.14928,144.920,3/3
pl_stream_top,2,30,0.17126,0.17554,85.630,6/6
pl_stream_top,4,30,0.22393,0.22807,55.983,12/12
pl_stream_top,8,30,0.32892,0.33333,41.115,24/24
pl_stream_top,16,30,0.53947,0.54406,33.717,48/48
pl_stream_top,32,30,0.96090,0.96495,30.028,96/96
pl_stream_top,64,30,1.80230,1.80707,28.161,192/192
pl_stream_top,128,30,3.48568,3.49114,27.232,384/384
pl_stream_top,256,30,6.85331,6.85783,26.771,768/768
SWEEP_DONE
