kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.12661,0.13258,126.610,3/3
pl_stream_top,2,30,0.15312,0.15685,76.560,6/6
pl_stream_top,4,30,0.20551,0.20620,51.377,12/12
pl_stream_top,8,30,0.30370,0.30443,37.963,24/24
pl_stream_top,16,30,0.49723,0.50123,31.077,48/48
pl_stream_top,32,30,0.89056,0.89459,27.830,96/96
pl_stream_top,64,30,1.67598,1.68061,26.187,192/192
pl_stream_top,128,30,3.24901,3.25352,25.383,384/384
pl_stream_top,256,30,6.39279,6.39760,24.972,768/768
SWEEP_DONE
