kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.10629,0.10989,106.290,3/3
pl_stream_top,2,30,0.12561,0.12947,62.805,6/6
pl_stream_top,4,30,0.16454,0.16870,41.135,12/12
pl_stream_top,8,30,0.24342,0.24721,30.427,24/24
pl_stream_top,16,30,0.40063,0.40448,25.039,48/48
pl_stream_top,32,30,0.71521,0.71986,22.350,96/96
pl_stream_top,64,30,1.34806,1.34899,21.063,192/192
pl_stream_top,128,30,2.60596,2.60670,20.359,384/384
pl_stream_top,256,30,5.11808,5.12230,19.992,768/768
SWEEP_DONE
