kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.09241,0.09281,92.410,3/3
pl_stream_top,2,30,0.10811,0.10850,54.055,6/6
pl_stream_top,4,30,0.13948,0.14109,34.870,12/12
pl_stream_top,8,30,0.20402,0.20469,25.503,24/24
pl_stream_top,16,30,0.32969,0.33055,20.606,48/48
pl_stream_top,32,30,0.58257,0.58313,18.205,96/96
pl_stream_top,64,30,1.08406,1.08494,16.938,192/192
pl_stream_top,128,30,2.08571,2.08800,16.295,384/384
pl_stream_top,256,30,4.09336,4.09446,15.990,768/768
SWEEP_DONE
