kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.06698,0.07424,66.980,3/3
pl_stream_top,2,30,0.07894,0.08550,39.470,6/6
pl_stream_top,4,30,0.10224,0.10832,25.560,12/12
pl_stream_top,8,30,0.15063,0.15500,18.829,24/24
pl_stream_top,16,30,0.24726,0.24793,15.454,48/48
pl_stream_top,32,30,0.43280,0.43380,13.525,96/96
pl_stream_top,64,30,0.80431,0.80534,12.567,192/192
pl_stream_top,128,30,1.54392,1.54868,12.062,384/384
pl_stream_top,256,30,3.02945,3.03437,11.834,768/768
SWEEP_DONE
