kernel,n_events,iters,min_ms,med_ms,us_per_event,out_changed
pl_stream_top,1,30,0.05722,0.06354,57.220,3/3
pl_stream_top,2,30,0.06691,0.07311,33.455,6/6
pl_stream_top,4,30,0.08503,0.09124,21.258,12/12
pl_stream_top,8,30,0.12229,0.12840,15.286,24/24
pl_stream_top,16,30,0.19881,0.20275,12.426,48/48
pl_stream_top,32,30,0.34789,0.35167,10.872,96/96
pl_stream_top,64,30,0.64554,0.64971,10.087,192/192
pl_stream_top,128,30,1.24096,1.24546,9.695,384/384
pl_stream_top,256,30,2.43185,2.43636,9.499,768/768
SWEEP_DONE
