n_inst,tiles,n_ev,iters,min_ms,med_ms,out_changed
1,15,8,30,0.07172,0.07201,192/192
1,15,16,30,0.10567,0.10614,192/192
1,15,32,30,0.17411,0.17574,192/192
1,15,64,30,0.31396,0.31471,192/192
1,15,128,30,0.58335,0.58723,192/192
1,15,256,30,1.13084,1.13267,192/192
FIT,n_inst=1,tiles=15,us_per_round=4.269,agg_ev_s=234253,per_inst_ev_s=234253
2,30,8,30,0.07662,0.07703,384/384
2,30,16,30,0.11066,0.11122,384/384
2,30,32,30,0.17886,0.17919,384/384
2,30,64,30,0.31511,0.31570,384/384
2,30,128,30,0.58779,0.58872,384/384
2,30,256,30,1.13147,1.13327,384/384
FIT,n_inst=2,tiles=30,us_per_round=4.254,agg_ev_s=470164,per_inst_ev_s=235082
4,60,8,30,0.10610,0.10648,768/768
4,60,16,30,0.16682,0.16735,768/768
4,60,32,30,0.28827,0.28882,768/768
4,60,64,30,0.53127,0.53204,768/768
4,60,128,30,1.01724,1.01773,768/768
4,60,256,30,1.98639,1.98923,768/768
FIT,n_inst=4,tiles=60,us_per_round=7.583,agg_ev_s=527530,per_inst_ev_s=131882
5,75,8,30,0.10702,0.10794,960/960
5,75,16,30,0.16842,0.16884,960/960
5,75,32,30,0.28967,0.29018,960/960
5,75,64,30,0.53235,0.53313,960/960
5,75,128,30,1.01689,1.01912,960/960
5,75,256,30,1.98743,1.99047,960/960
FIT,n_inst=5,tiles=75,us_per_round=7.580,agg_ev_s=659624,per_inst_ev_s=131925
8,120,8,30,0.11088,0.11134,1536/1536
8,120,16,30,0.17192,0.17240,1536/1536
8,120,32,30,0.29340,0.29382,1536/1536
8,120,64,30,0.53622,0.53690,1536/1536
8,120,128,30,1.02027,1.02262,1536/1536
8,120,256,30,1.99243,1.99366,1536/1536
FIT,n_inst=8,tiles=120,us_per_round=7.585,agg_ev_s=1054761,per_inst_ev_s=131845
12,180,8,30,0.11414,0.11656,2304/2304
12,180,16,30,0.17500,0.17683,2304/2304
12,180,32,30,0.29654,0.29840,2304/2304
12,180,64,30,0.53867,0.54169,2304/2304
12,180,128,30,1.02687,1.02748,2304/2304
12,180,256,30,1.99587,1.99904,2304/2304
FIT,n_inst=12,tiles=180,us_per_round=7.589,agg_ev_s=1581157,per_inst_ev_s=131763
16,240,8,30,0.11929,0.11982,3072/3072
16,240,16,30,0.18040,0.18259,3072/3072
16,240,32,30,0.30331,0.30405,3072/3072
16,240,64,30,0.54624,0.54708,3072/3072
16,240,128,30,1.03065,1.03270,3072/3072
16,240,256,30,2.00163,2.00411,3072/3072
FIT,n_inst=16,tiles=240,us_per_round=7.587,agg_ev_s=2108857,per_inst_ev_s=131804
20,300,8,30,0.12647,0.12722,3840/3840
20,300,16,30,0.18804,0.18837,3840/3840
20,300,32,30,0.31054,0.31124,3840/3840
20,300,64,30,0.55621,0.55703,3840/3840
20,300,128,30,1.04564,1.04775,3840/3840
20,300,256,30,2.02812,2.02911,3840/3840
FIT,n_inst=20,tiles=300,us_per_round=7.666,agg_ev_s=2608768,per_inst_ev_s=130438
SWEEP_DONE
