n_inst,tiles,inst,us_per_event,ev_s
1,15,0,4.260,234730
AGG,n_inst=1,tiles=15,agg_ev_s=234730,call_min_ms=17.51,call_ev_s=233882
2,30,0,4.260,234729
2,30,1,4.063,246133
AGG,n_inst=2,tiles=30,agg_ev_s=480862,call_min_ms=17.54,call_ev_s=467053
3,45,0,4.260,234729
3,45,1,4.063,246134
3,45,2,7.589,131766
AGG,n_inst=3,tiles=45,agg_ev_s=612629,call_min_ms=31.15,call_ev_s=394494
4,60,0,4.260,234729
4,60,1,4.063,246133
4,60,2,7.589,131766
4,60,3,7.510,133151
AGG,n_inst=4,tiles=60,agg_ev_s=745779,call_min_ms=31.18,call_ev_s=525546
5,75,0,4.260,234729
5,75,1,4.063,246133
5,75,2,7.589,131766
5,75,3,7.510,133151
5,75,4,7.589,131766
AGG,n_inst=5,tiles=75,agg_ev_s=877545,call_min_ms=31.20,call_ev_s=656380
8,120,0,4.260,234730
8,120,1,4.063,246134
8,120,2,7.589,131766
8,120,3,7.510,133151
8,120,4,7.589,131766
8,120,5,4.069,245780
8,120,6,7.589,131766
8,120,7,4.435,225493
AGG,n_inst=8,tiles=120,agg_ev_s=1480585,call_min_ms=31.28,call_ev_s=1047534
12,180,0,4.260,234730
12,180,1,4.063,246133
12,180,2,7.589,131766
12,180,3,7.510,133151
12,180,4,7.589,131766
12,180,5,4.069,245779
12,180,6,7.589,131766
12,180,7,4.435,225494
12,180,8,4.029,248206
12,180,9,7.589,131766
12,180,10,4.064,246035
12,180,11,4.434,225554
AGG,n_inst=12,tiles=180,agg_ev_s=2332146,call_min_ms=31.39,call_ev_s=1565966
16,240,0,4.260,234730
16,240,1,4.063,246134
16,240,2,7.589,131766
16,240,3,7.510,133151
16,240,4,7.589,131766
16,240,5,4.069,245780
16,240,6,7.589,131766
16,240,7,4.435,225493
16,240,8,4.029,248206
16,240,9,7.589,131766
16,240,10,4.064,246035
16,240,11,4.434,225553
16,240,12,4.416,226454
16,240,13,4.431,225667
16,240,14,4.116,242952
16,240,15,4.414,226540
AGG,n_inst=16,tiles=240,agg_ev_s=3253758,call_min_ms=31.49,call_ev_s=2081042
20,300,0,4.260,234730
20,300,1,4.063,246133
20,300,2,7.589,131766
20,300,3,7.510,133151
20,300,4,7.589,131766
20,300,5,4.069,245779
20,300,6,7.589,131766
20,300,7,4.435,225494
20,300,8,4.029,248205
20,300,9,7.589,131766
20,300,10,4.064,246035
20,300,11,4.434,225554
20,300,12,4.416,226454
20,300,13,4.431,225668
20,300,14,4.116,242952
20,300,15,4.414,226539
20,300,16,7.668,130409
20,300,17,4.062,246190
20,300,18,4.258,234861
20,300,19,4.046,247174
AGG,n_inst=20,tiles=300,agg_ev_s=4112394,call_min_ms=31.60,call_ev_s=2592575
SWEEP_DONE
