col,row,kernel,total_cyc,report_cyc,busy_pct,pm_size,top_funcs
18,0,cand_post_c_L0,4999010,1852007,37.0,14522,layernorm_row=646800(34.9%)  •  cand_post_c_L0=334466(18.1%)  •  f32_to_i32_r_minMag=259160(14.0%)
18,1,obj_post_c_L0,4999004,4955671,99.1,16202,main=4167284(84.1%)  •  layernorm_row=307952(6.2%)  •  obj_post_c_L0=148212(3.0%)
18,2,cand_post_b2_L0,4998998,1835269,36.7,13644,main=903101(49.2%)  •  cand_post_b2_L0=586207(31.9%)  •  f32_to_i32_r_minMag=129580(7.1%)
18,3,obj_post_b2_L0,4998992,4889980,97.8,15464,main=4455304(91.1%)  •  obj_post_b2_L0=268029(5.5%)  •  f32_to_i32_r_minMag=62208(1.3%)
18,4,cand_post_b1_L0,4998986,1825926,36.5,13628,main=894162(49.0%)  •  cand_post_b1_L0=586038(32.1%)  •  f32_to_i32_r_minMag=129600(7.1%)
18,5,obj_post_b1_L0,4998980,4853846,97.1,15464,main=4419421(91.0%)  •  obj_post_b1_L0=267888(5.5%)  •  f32_to_i32_r_minMag=62208(1.3%)
19,0,obj_attn_head_pre_h3_L0,4998974,4831300,96.6,6324,"main=4640094(96.0%)  •  obj_attn_head_pre_h3_L0=125972(2.6%)  •  gemm_tile<12,=38598(0.8%)"
19,1,obj_attn_head_pre_h0_L0,4998968,4831307,96.6,6324,"main=4640031(96.0%)  •  obj_attn_head_pre_h0_L0=126047(2.6%)  •  gemm_tile<12,=38598(0.8%)"
19,2,obj_post_a_proj_L0,4998962,4817573,96.4,15580,main=4320097(89.7%)  •  obj_post_a_proj_L0=298508(6.2%)  •  f32_to_i32_r_minMag=62198(1.3%)
19,3,obj_attn_head_pre_h1_L0,4998956,4831299,96.6,6324,"main=4640038(96.0%)  •  obj_attn_head_pre_h1_L0=126042(2.6%)  •  gemm_tile<12,=38598(0.8%)"
19,4,obj_attn_head_pre_h2_L0,4998950,4831285,96.6,6324,"main=4640089(96.0%)  •  obj_attn_head_pre_h2_L0=125982(2.6%)  •  gemm_tile<12,=38598(0.8%)"
20,0,obj_attn_head_post_h3_L0,4998944,4998938,100.0,15872,f32_mul=1334610(26.7%)  •  softfloat_subMagsF32=725962(14.5%)  •  softfloat_roundPackToF32=710136(14.2%)
20,1,obj_attn_head_post_h0_L0,4998938,4998901,100.0,15856,f32_mul=1327150(26.6%)  •  softfloat_subMagsF32=730331(14.6%)  •  softfloat_roundPackToF32=708666(14.2%)
