kernel,module,cycles_min,cycles_max,us_min,us_max,is_total
embed_ffn,embed_ffn_Pipeline_LIN_I_LIN_J,579,579,2.098,2.098,0
embed_ffn,layernorm_12_16_s,553,553,2.004,2.004,0
embed_ffn,relu_2d_12_16_s,14,14,0.051,0.051,0
embed_ffn,linear_12_16_16_s,1539,1539,5.577,5.577,0
embed_ffn,embed_ffn_Pipeline_VITIS_LOOP_64_2_VITIS_LOOP_65_3,194,194,0.703,0.703,0
embed_ffn,linear_12_16_16_1,1539,1539,5.577,5.577,0
embed_ffn,embed_ffn_Pipeline_VITIS_LOOP_29_1_VITIS_LOOP_30_2,194,194,0.703,0.703,0
embed_ffn,TOTAL,5197,5197,18.834,18.834,1
pairwise_mlp,pairwise_mlp_Pipeline_VITIS_LOOP_19_1_VITIS_LOOP_24_2,436,436,1.588,1.588,0
pairwise_mlp,pairwise_mlp_Pipeline_LIN_J,35,35,0.128,0.128,0
pairwise_mlp,layernorm_1_16_s,53,53,0.193,0.193,0
pairwise_mlp,relu_2d_1_16_s,16,16,0.058,0.058,0
pairwise_mlp,linear_1_16_16_s,141,141,0.514,0.514,0
pairwise_mlp,linear_1_1_16_s,9,9,0.033,0.033,0
pairwise_mlp,layernorm_1_16_1,53,53,0.193,0.193,0
pairwise_mlp,TOTAL,89719,89719,326.846,326.846,1
attn_obj,attn_block_obj_Pipeline_VITIS_LOOP_50_1,98,98,0.353,0.353,0
attn_obj,linear_12_16_16_5,1539,1539,5.548,5.548,0
attn_obj,reshape_and_append_bias_kv_12_12_s,327,327,1.179,1.179,0
attn_obj,attn_block_obj_Pipeline_QK_I_QJ_I,160,160,0.577,0.577,0
attn_obj,attn_block_obj_Pipeline_CONCAT,14,14,0.050,0.050,0
attn_obj,attn_block_obj_Pipeline_VITIS_LOOP_92_4,74,74,0.267,0.267,0
attn_obj,attn_block_obj_Pipeline_VITIS_LOOP_101_6,14,14,0.050,0.050,0
attn_obj,softmax_and_context_12_13_s,1015,1015,3.659,3.659,0
attn_obj,linear_12_16_16_12,1539,1539,5.548,5.548,0
attn_obj,attn_block_obj_Pipeline_VITIS_LOOP_119_8,98,98,0.353,0.353,0
attn_obj,skip_and_norm_12_s,856,856,3.086,3.086,0
attn_obj,ffn_block_12_s,7618,7618,27.463,27.463,0
attn_obj,attn_block_obj_Pipeline_VITIS_LOOP_133_10,98,98,0.353,0.353,0
attn_obj,TOTAL,20071,20371,72.356,73.437,1
attn_cand,attn_block_cand_Pipeline_VITIS_LOOP_43_1,26,26,0.094,0.094,0
attn_cand,linear_3_16_16_5,387,387,1.402,1.402,0
attn_cand,reshape_and_append_bias_kv_3_3_s,111,111,0.402,0.402,0
attn_cand,attn_block_cand_Pipeline_QK_I_QJ_I,15,15,0.054,0.054,0
attn_cand,attn_block_cand_Pipeline_CONCAT,5,5,0.018,0.018,0
attn_cand,softmax_row_4_s,52,52,0.188,0.188,0
attn_cand,attn_block_cand_Pipeline_AV_I_AV_D,20,20,0.072,0.072,0
attn_cand,linear_3_16_16_12,387,387,1.402,1.402,0
attn_cand,attn_block_cand_Pipeline_VITIS_LOOP_84_3,26,26,0.094,0.094,0
attn_cand,skip_and_norm_3_s,214,214,0.776,0.776,0
attn_cand,ffn_block_3_s,1928,1928,6.987,6.987,0
attn_cand,TOTAL,4682,4682,16.968,16.968,1
attn_cross,linear_12_16_16_6,1539,1539,5.523,5.523,0
attn_cross,linear_3_16_16_5,387,387,1.389,1.389,0
attn_cross,reshape_and_append_bias_kv_12_3_s,255,255,0.915,0.915,0
attn_cross,attn_block_cross_Pipeline_QK_I_QJ_I,52,52,0.187,0.187,0
attn_cross,attn_block_cross_Pipeline_CONCAT,14,14,0.050,0.050,0
attn_cross,softmax_row_4_s,52,52,0.187,0.187,0
attn_cross,attn_block_cross_Pipeline_AV_I_AV_D,56,56,0.201,0.201,0
attn_cross,linear_12_16_16_12,1539,1539,5.523,5.523,0
attn_cross,attn_block_cross_Pipeline_VITIS_LOOP_82_1,98,98,0.352,0.352,0
attn_cross,layernorm_12_16_s,661,661,2.372,2.372,0
attn_cross,ffn_block_12_s,7618,7618,27.341,27.341,0
attn_cross,TOTAL,15167,15167,54.434,54.434,1
cand_build,candidate_build_top_Pipeline_VITIS_LOOP_12_1,14,14,0.034,0.034,0
cand_build,candidate_build_top_Pipeline_VITIS_LOOP_39_4,26,26,0.062,0.062,0
cand_build,candidate_build_top_Pipeline_VITIS_LOOP_21_2,26,26,0.062,0.062,0
cand_build,candidate_build_top_Pipeline_VITIS_LOOP_48_6_VITIS_LOOP_50_7,195,195,0.467,0.467,0
cand_build,TOTAL,252,252,0.604,0.604,1
cand_lorentz,get_jet_choice,33,33,0.120,0.120,0
cand_lorentz,x_to_p4_hw,50,50,0.182,0.182,0
cand_lorentz,build_candidates_p4,177,177,0.645,0.645,0
cand_lorentz,assemble_ae_input,23,23,0.084,0.084,0
cand_lorentz,TOTAL,321,321,1.170,1.170,1
autoencoder,ae_encode,337,337,1.230,1.230,0
autoencoder,ae_decode,336,336,1.226,1.226,0
autoencoder,dual_autoencoder_Pipeline_VITIS_LOOP_157_1,21,21,0.077,0.077,0
autoencoder,dual_autoencoder_Pipeline_VITIS_LOOP_182_2,9,9,0.033,0.033,0
autoencoder,TOTAL,1041,1041,3.799,3.799,1
