

BUFFER,FROM_INSTANCE.PORT,TO_INSTANCE.PORT,SIZE,MEMORY_GROUP,BANK,OFFSET,DMA_NEEDED
buf174,g.cross0.k_pre[0].po0,g.cross0.k_post_h[0].pi0,96,"(29, 3)",0,8096,-
buf173,cross_c_in_L0.po0,g.cross0.k_pre[3].pi1,96,"(29, 5)",1,0,-
buf172,cross_c_in_L0.po0,g.cross0.k_pre[2].pi1,96,"(29, 0)",3,0,-
buf186,g.cross0.k_post_ac.po0,g.cross0.k_post_ap.pi0,384,"(28, 2)",1,384,-
buf171,cross_c_in_L0.po0,g.cross0.k_pre[1].pi1,96,"(29, 2)",1,1024,-
buf185,g.cross0.k_post_h[3].po0,g.cross0.k_post_ac.pi3,96,"(28, 3)",1,0,-
buf170,cross_c_in_L0.po0,g.cross0.k_pre[0].pi1,96,"(30, 3)",1,0,-
buf184,g.cross0.k_pre[3].po1,g.cross0.k_post_h[3].pi1,32,"(28, 4)",3,0,-
buf169,cross_x_in_L0.po0,g.cross0.k_post_ap.pi1,384,"(29, 3)",2,4096,-
buf64,g.cross0.k_pre[3].po0,g.cross0.k_post_h[3].pi0,96,"(28, 4)",2,32,-
buf168,cross_x_in_L0.po0,g.cross0.k_pre[3].pi0,384,"(29, 5)",3,0,-
buf63,g.cross0.k_post_h[2].po0,g.cross0.k_post_ac.pi2,96,"(28, 1)",0,0,-
buf167,cross_x_in_L0.po0,g.cross0.k_pre[2].pi0,384,"(29, 1)",0,0,-
buf62,g.cross0.k_pre[2].po1,g.cross0.k_post_h[2].pi1,32,"(28, 0)",0,0,-
buf136,g.obj0.k_post_h[0].po0,g.obj0.k_post_ac.pi0,96,"(20, 1)",3,3616,-
buf198,g.cross0._dma[2].po0,g.cross0.k_post_c.pi1,384,"(31, 0)",0,7808,-
sysmem85,-,-,3701,"(19, 2)",0,0,-
buf135,obj_wij_h3_L0.po0,g.obj0.k_post_h[3].pi2,320,"(20, 0)",1,0,-
buf197,g.cross0._dma[1].po0,g.cross0.k_post_b1.pi0,384,"(31, 2)",1,0,-
sysmem84,-,-,2180,"(20, 3)",3,224,-
buf134,obj_wij_h2_L0.po0,g.obj0.k_post_h[2].pi2,320,"(20, 5)",1,0,-
buf196,g.cross0.k_post_ap.po0,g.cross0._dma[0].pi0,384,"(29, 3)",1,3712,-
sysmem83,-,-,3093,"(20, 1)",3,0,-
buf133,obj_wij_h1_L0.po0,g.obj0.k_post_h[1].pi2,320,"(20, 2)",2,0,-
buf132,obj_wij_h0_L0.po0,g.obj0.k_post_h[0].pi2,320,"(20, 0)",3,0,-
buf131,g.obj0.k_pre[3].po1,g.obj0.k_post_h[3].pi1,128,"(19, 0)",1,0,-
buf127,g.obj0.k_pre[1].po1,g.obj0.k_post_h[1].pi1,128,"(20, 3)",3,0,-
buf12,g.obj0.k_pre[3].po1,g.obj0.k_post_h[3].pi1,128,"(19, 0)",2,128,-
buf125,g.obj0.k_pre[0].po1,g.obj0.k_post_h[0].pi1,128,"(20, 1)",1,7584,-
buf129,g.obj0.k_pre[2].po1,g.obj0.k_post_h[2].pi1,128,"(19, 4)",0,5056,-
buf23,g.obj0.k_post_b2.po0,g.obj0.k_post_c.pi0,384,"(18, 2)",3,0,-
buf189,g.cross0.k_post_c.po0,cross_x_out_L0.pi0,384,"(31, 0)",2,0,-
buf164,g.cand0.k_post_c.po0,cand_c_out_L0.pi0,96,"(18, 0)",3,0,-
buf19,g.obj0.k_post_h[2].po0,g.obj0.k_post_ac.pi2,96,"(20, 3)",1,4000,-
buf18,g.obj0.k_post_h[1].po0,g.obj0.k_post_ac.pi1,96,"(20, 2)",3,0,-
buf21,g.obj0.k_post_ac.po0,g.obj0.k_post_ap.pi0,384,"(19, 2)",2,0,-
buf187,g.cross0.k_post_b1.po0,g.cross0.k_post_b2.pi0,384,"(31, 1)",2,0,-
buf162,g.cand0.k_post_b1.po0,g.cand0.k_post_b2.pi0,96,"(18, 3)",1,0,-
sysmem87,-,-,3703,"(18, 3)",1,96,-
buf138,g.obj0.k_post_h[2].po0,g.obj0.k_post_ac.pi2,96,"(20, 3)",3,128,-
buf11,g.obj0.k_pre[3].po0,g.obj0.k_post_h[3].pi0,384,"(19, 0)",0,0,-
buf130,g.obj0.k_pre[3].po0,g.obj0.k_post_h[3].pi0,384,"(19, 0)",3,0,-
buf128,g.obj0.k_pre[2].po0,g.obj0.k_post_h[2].pi0,384,"(19, 4)",1,0,-
buf13,obj_wij_h0_L0.po0,g.obj0.k_post_h[0].pi2,320,"(20, 0)",2,0,-
buf22,g.obj0.k_post_b1.po0,g.obj0.k_post_b2.pi0,384,"(18, 4)",2,0,-
buf188,g.cross0.k_post_b2.po0,g.cross0.k_post_c.pi0,384,"(31, 0)",1,7808,-
buf163,g.cand0.k_post_b2.po0,g.cand0.k_post_c.pi0,96,"(18, 1)",1,0,-
buf143,g.obj0.k_post_c.po0,obj_x_out_L0.pi0,384,"(18, 0)",0,0,-
